	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
Acnat2	 0.053259	-0.042814	-0.040492	-0.040531	-0.040156	-0.043493
Spink14	 0.053259	-0.042814	-0.040492	-0.040531	-0.040156	-0.043493
Olfr358	 0.053259	-0.042814	-0.040492	-0.040531	-0.040156	-0.043493
4930503B20Rik	 0.025779	-0.052215	-0.052022	-0.051769	-0.052072	-0.052463
Mir345	 0.027838	-0.048981	-0.048753	-0.048598	-0.049332	-0.049167
Mir6937	 0.047128	-0.055471	-0.055846	-0.052602	-0.015239	-0.058535
Bves	  0.01329	-0.032553	 -0.03214	-0.032134	-0.033074	-0.032458
Mir374	 0.019101	-0.035808	-0.035119	-0.032331	-0.036062	 -0.03592
Gm7788	 -0.0067507	 -0.0019507	-0.00065494	  -0.068589	  -0.068125	   -0.06862
1700010B08Rik	-0.026761	-0.075958	-0.075924	-0.074898	-0.075217	0.0084711
Hsd17b3	0.0028733	-0.078238	-0.075916	-0.073086	 -0.07558	 0.018689
Mir7237	-0.031038	-0.084306	-0.083765	 -0.08334	-0.083729	 0.038487
Dlk1	 0.040653	 -0.06845	-0.068103	-0.068244	-0.068063	-0.016828
Mir5128	 0.019919	-0.079387	-0.078814	-0.077277	-0.080083	-0.013647
Gm14827	-0.0026745	 -0.056546	 -0.056533	 -0.056387	  -0.05643	-0.0055066
Nlrp4c	 -0.010333	 -0.055205	 -0.054878	 -0.054748	 -0.055097	-0.0089865
Sim1	-0.0058851	 -0.060943	 -0.060598	 -0.060944	 -0.061493	 0.0018295
Mir7085	0.0076348	-0.055856	-0.016336	-0.055542	-0.055886	-0.021602
1700022E09Rik	-0.038942	 -0.06381	  -0.0872	0.0027733	-0.073102	 0.010912
Mir8113	-0.053844	-0.048999	-0.086539	-0.037728	-0.086292	0.0062403
1110036E04Rik	-0.079618	-0.078031	 -0.07808	-0.077371	-0.076825	 -0.07814
Rnase12	-0.078205	-0.078124	-0.077889	-0.078158	-0.077964	-0.078203
Mir466f-2	-0.080499	-0.079919	-0.080234	-0.075098	-0.079589	-0.081439
D430041D05Rik	-0.081091	-0.081131	-0.080783	-0.080841	-0.080312	-0.081488
