Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	NA	0.0	0.0	2.21190732397e-10	8.24997847815e-11	1.2229384172e-10	0.0	0.0	0.0	9.71489555468e-12	1.99003702406e-10	8.24997847815e-11	0.0
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	NA	0.0	0.0	3.51989548619e-11	3.49522633059e-11	1.43394407459e-10	0.0	0.0	0.0	0.0	0.0	3.49523743282e-11	0.0
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	8.57030002521e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up	NA	0.0	0.0	5.14711606669e-11	0.0	1.63342672721e-11	0.0	0.0	3.97212263081e-11	0.0	7.59229346059e-11	0.0	0.0
