	Atf3	Bcl11a	Bcl6	Egr1	Egr2	Fos	Fosb	Jun	Klf4	Rreb1	Srf
0610009o20rik	0	0	0	0	0	0.5	0	0	0	0	0
1110007c09rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
1110034g24rik	0	0	0	0.5	0	0	0	0	0	0	0
1110038b12rik	0	0	0	0.5	0	0.5	0	0	0	0	0
1110057k04rik	0.5	0	0	0	0	0	0	0	0	0	0
1190002n15rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
1300002k09rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0
1500012f01rik	0	0	1.0	0.5	0	0.5	0	0	0.5	0	0.5
1600029i14rik	0.5	0	0	0.5	0	0.5	0	0	0	0	0
1700001l05rik	0	0	0	0	0	-0.5	0	0	0	0	0
1700023e05rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0
1700030j22rik	0	0	0	0	0	0	0	-0.5	0	0	0
1700086o06rik	0	0	0	0	0	0.5	0	0	0	0	0
1700096k18rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
1810011h11rik	0.5	0	0	0	0	0	0	0	0	0	0
1810043g02rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
2010107g12rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
2010111i01rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
2010300c02rik	0	0	0	0	0	0	0	-0.5	0	0	0
2610002j02rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0
2610035d17rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
2700029m09rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
2700094k13rik	0.5	0	0	0.5	0	0.5	0	0	0	0	0
2810442i21rik	0	-1.0	0	-1.0	0	-0.5	-0.5	-0.5	0	0	0
2900026a02rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
3110002h16rik	0	0	0	0	0	0	-0.5	-0.5	0	0	0
3110040n11rik	0	0	0	0.5	0	0	0	0	0	0	0
3110082i17rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
4632428n05rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0
4732471j01rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
4833418n02rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
4833422c13rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
4930452b06rik	0	0	0	0.5	0	0.5	0	0	0	0	0
4930523c07rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
4930539j05rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
4931406c07rik	0	0	0	0.5	0	0	0	0	0.5	0	0
4933421o10rik	0	0	0	0.5	0	0.5	0	0	0	0	0
4933426m11rik	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
4933427d14rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
5830432e09rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
6030468b19rik	0	0	0	0	0	-0.5	0	0	0	0	0
6330416g13rik	0.5	0	0	0.5	0	0.5	0	0	0	0	0
6430548m08rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
6430562o15rik	0	0	0	0	0	0	0	-0.5	0	0	0
8430419l09rik	0	0	0	0.5	0	0	0	0	0.5	0	0
8430427h17rik	0	0	0	0	0	-0.5	0	0	0	0	0
9030617o03rik	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
9030624j02rik	0.5	0	0	0	0	0.5	0	0	0.5	0	0
9130019o22rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
9330133o14rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
9430076c15rik	0	0	0	0	0	0	0	-0.5	0	0	0
