	Batf	Bcl3	Ebf1	Fosl2	Gata2	Hey1	Hivep1	Jdp2	Klf12	Klf5	Nfe2l2	Nfkb1	Nfkb2	Nr2f2	Nr4a3	Pparg	Prdm1	Rarg	Rel	Rela	Relb	Rest	Stat3	Tcf7l2	Zbtb7a	Zfp281
0610038b21rik	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
1110007c09rik	0	1.5	0.5	1.5	0	0	1.0	0	0.5	0.5	0	1.5	1.0	0	0	0	0	0	0	1.5	0	0.5	0	0	0.5	0.5
1110032f04rik	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1600012h06rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0
1700001l05rik	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
1700023f06rik	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
1700030j22rik	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
1700102p08rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810013l24rik	1.0	0	0	1.5	1.0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	1.0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
2010012o05rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
2010107g12rik	1.0	0.5	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	1.0	0.5	0.5	0	0.5	0.5	0	0	0.5
2010111i01rik	1.0	0.5	0.5	1.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0.5	1.0	0.5	0.5
2310022b05rik	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5
2310057m21rik	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
2410004b18rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0
2810408m09rik	0	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0
2900097c17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
3010026o09rik	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
3110002h16rik	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0
3110043o21rik	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0
4833422c13rik	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
4921524j17rik	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5
4930402f06rik	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
4930402h24rik	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5
4930452b06rik	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5
4930528a17rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0
4931406h21rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
4932438a13rik	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5
4932438h23rik	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
5430435g22rik	0	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.5	0	0.5	0.5	0	0.5	0.5
5730508b09rik	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
5830416p10rik	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0.5
6030468b19rik	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
6330403a02rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0.5
6330549d23rik	0	0	0	1.5	0	0.5	0	0	0	0.5	1.0	0.5	0	0	0	0	1.0	0	0.5	0.5	0	0	0.5	1.0	0	0
6430548m08rik	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5
6430571l13rik	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5
6820431f20rik	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0
8430427h17rik	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0
9030617o03rik	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5
9130019o22rik	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
9130221h12rik	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5
9230114k14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0
9330020h09rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
9430008c03rik	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0
9430020k01rik	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
9430076c15rik	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
9530059o14rik	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	1.0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5
A530032d15rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
A530054k11rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5
A630007b06rik	1.0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	1.0	0	0	0.5	0	0.5	0.5	0	0	0
A630072m18rik	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
A830080d01rik	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
A930013f10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Aa467197	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Aa987161	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5
Aamp	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Aanat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Aars	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5
Ab124611	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Abca1	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0.5	0	1.0	0	0	1.0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Abcb1b	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Abcb9	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0.5
Abcc1	0	1.5	0	0	0	0.5	0	0	0	0.5	1.0	1.5	0	0	0	0	0	0	1.5	1.5	0	0.5	0.5	0	0	0.5
Abhd13	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd2	0	0	0.5	1.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0.5
Abhd3	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Abi1	1.0	0	0	0	0	0.5	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Ablim3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Abt1	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0
Abtb2	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0.5
Acbd3	0	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Acbd4	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Acer2	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Acot9	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5
Acss1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Acta2	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
Actg2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Acvr2a	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5
Adam22	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
