Regulator	Target	Weight
Atf3	0610007p14rik	0.5
E2f4	0610007p14rik	0.5
E2f6	0610007p14rik	0.5
Egr1	0610007p14rik	0.5
Fos	0610007p14rik	0.5
Klf12	0610007p14rik	0.5
Maz	0610007p14rik	0.5
Nrf1	0610007p14rik	0.5
Pax5	0610007p14rik	0.5
E2f4	0610009b22rik	0.5
E2f6	0610009b22rik	0.5
Egr1	0610009b22rik	0.5
Egr3	0610009b22rik	0.5
Egr4	0610009b22rik	0.5
Nrf1	0610009b22rik	0.5
E2f4	0610009o20rik	0.5
Fos	0610009o20rik	0.5
Atf3	0610010k14rik	0.5
E2f4	0610010k14rik	0.5
Egr1	0610010k14rik	0.5
Elf4	0610010k14rik	0.5
Fos	0610010k14rik	0.5
Atf3	0610039k10rik	0.5
E2f4	0610039k10rik	0.5
Egr1	0610039k10rik	0.5
Egr3	0610039k10rik	0.5
Egr4	0610039k10rik	0.5
Klf12	0610039k10rik	0.5
Klf4	0610039k10rik	0.5
Nrf1	0610039k10rik	0.5
Pax5	0610039k10rik	0.5
Pax5	0610040j01rik	0.5
E2f4	1110007c09rik	-0.5
Egr4	1110007c09rik	-0.5
Fos	1110007c09rik	-0.5
Jun	1110007c09rik	-0.5
Klf12	1110007c09rik	-0.5
Maz	1110007c09rik	-0.5
Myc	1110007c09rik	-0.5
Nrf1	1110007c09rik	-0.5
Pax5	1110007c09rik	-0.5
E2f6	1110008l16rik	0.5
Egr1	1110008l16rik	0.5
Egr3	1110008l16rik	0.5
Egr4	1110008l16rik	0.5
Elf4	1110008l16rik	0.5
Hic1	1110008l16rik	0.5
Irf2	1110008l16rik	1.0
Mef2c	1110008l16rik	1.0
Nrf1	1110008l16rik	0.5
Pax5	1110008l16rik	0.5
E2f4	1110032f04rik	-0.5
Egr1	1110032f04rik	-0.5
Egr4	1110032f04rik	-0.5
Nrf1	1110032f04rik	-0.5
Atf3	1110051m20rik	0.5
Bcl11a	1110051m20rik	1.0
Jun	1110051m20rik	1.0
Klf4	1110051m20rik	0.5
Mef2c	1110051m20rik	1.0
Nr2c2	1110051m20rik	1.5
Pax5	1110051m20rik	1.5
Rxrb	1110051m20rik	1.0
Atf3	1110059e24rik	0.5
Bcl11a	1110059e24rik	1.0
Egr1	1110059e24rik	0.5
Egr4	1110059e24rik	0.5
Fos	1110059e24rik	0.5
Klf12	1110059e24rik	0.5
Maz	1110059e24rik	0.5
Mef2c	1110059e24rik	1.0
Nr2c2	1110059e24rik	0.5
Nrf1	1110059e24rik	0.5
Pax5	1110059e24rik	0.5
Bcl11a	1200014j11rik	1.0
E2f4	1200014j11rik	0.5
Egr1	1200014j11rik	0.5
Fos	1200014j11rik	1.5
Jun	1200014j11rik	1.0
Mef2c	1200014j11rik	1.0
Pax5	1200014j11rik	1.5
Egr1	1300002k09rik	1.5
Fos	1300002k09rik	0.5
Klf12	1300002k09rik	0.5
Klf4	1300002k09rik	0.5
Maz	1300002k09rik	0.5
Patz1	1300002k09rik	0.5
Pax5	1300002k09rik	1.5
Egr3	1500004a13rik	0.5
Hic1	1500004a13rik	0.5
E2f4	1500012f01rik	0.5
E2f6	1500012f01rik	0.5
Egr1	1500012f01rik	0.5
Egr4	1500012f01rik	0.5
Fos	1500012f01rik	0.5
Hic1	1500012f01rik	0.5
Klf12	1500012f01rik	0.5
Klf4	1500012f01rik	0.5
Nrf1	1500012f01rik	0.5
Pax5	1500012f01rik	0.5
E2f4	1500015a07rik	0.5
E2f6	1500015a07rik	0.5
Egr4	1500015a07rik	0.5
Elf4	1500015a07rik	0.5
Fos	1500015a07rik	0.5
Klf12	1500015a07rik	0.5
Nrf1	1500015a07rik	0.5
Pax5	1500015a07rik	0.5
Atf3	1600002h07rik	0.5
E2f4	1600002h07rik	0.5
E2f6	1600002h07rik	0.5
Egr1	1600002h07rik	0.5
Egr3	1600002h07rik	0.5
Egr4	1600002h07rik	0.5
Elf4	1600002h07rik	0.5
Hic1	1600002h07rik	0.5
Klf12	1600002h07rik	0.5
Klf4	1600002h07rik	0.5
Nrf1	1600002h07rik	0.5
Pax5	1600002h07rik	0.5
Atf3	1600012h06rik	-0.5
E2f4	1600012h06rik	-0.5
Egr1	1600012h06rik	-0.5
Klf4	1600012h06rik	-0.5
Nrf1	1600012h06rik	-0.5
Pax5	1600012h06rik	-0.5
Atf3	1600014c10rik	0.5
E2f4	1600014c10rik	0.5
E2f6	1600014c10rik	0.5
Egr1	1600014c10rik	0.5
Egr4	1600014c10rik	0.5
Hic1	1600014c10rik	0.5
Maz	1600014c10rik	0.5
Nr2c2	1600014c10rik	0.5
Nrf1	1600014c10rik	0.5
Pax5	1600014c10rik	0.5
Atf3	1600016n20rik	0.5
E2f4	1600016n20rik	0.5
E2f6	1600016n20rik	0.5
Egr1	1600016n20rik	0.5
Egr3	1600016n20rik	0.5
Fos	1600016n20rik	0.5
Klf12	1600016n20rik	0.5
Klf4	1600016n20rik	0.5
Maz	1600016n20rik	0.5
Nr2c2	1600016n20rik	0.5
Nrf1	1600016n20rik	0.5
Patz1	1600016n20rik	0.5
Pax5	1600016n20rik	0.5
Atf3	1700001p01rik	0.5
E2f4	1700001p01rik	0.5
Egr1	1700001p01rik	0.5
Egr3	1700001p01rik	0.5
Elf4	1700001p01rik	0.5
Klf12	1700001p01rik	0.5
Klf4	1700001p01rik	0.5
Maz	1700001p01rik	0.5
Nr2c2	1700001p01rik	0.5
Nrf1	1700001p01rik	0.5
Elf4	1700009p17rik	0.5
Hic1	1700009p17rik	0.5
Nr2c2	1700009p17rik	0.5
Pax5	1700009p17rik	0.5
Rfx5	1700009p17rik	1.0
Runx1	1700009p17rik	1.0
Atf3	1700017b05rik	0.5
E2f4	1700017b05rik	0.5
Egr1	1700017b05rik	0.5
Egr4	1700017b05rik	0.5
Nr2c2	1700017b05rik	0.5
Nrf1	1700017b05rik	0.5
Pax5	1700017b05rik	0.5
E2f4	1700021k19rik	0.5
E2f6	1700021k19rik	0.5
Egr1	1700021k19rik	0.5
Egr4	1700021k19rik	0.5
Elf4	1700021k19rik	0.5
Maz	1700021k19rik	0.5
Nrf1	1700021k19rik	0.5
Pax5	1700021k19rik	0.5
Maz	1700026l06rik	-0.5
Pax5	1700026l06rik	-0.5
Egr1	1700030j22rik	-0.5
Egr4	1700030j22rik	-0.5
Jun	1700030j22rik	-0.5
Klf12	1700030j22rik	-0.5
Klf4	1700030j22rik	-0.5
Myc	1700030j22rik	-0.5
Atf3	1700034h15rik	-0.5
E2f4	1700034h15rik	-0.5
Egr1	1700034h15rik	-0.5
Egr3	1700034h15rik	-0.5
Egr4	1700034h15rik	-0.5
Fos	1700034h15rik	-0.5
Hic1	1700034h15rik	-0.5
Jun	1700034h15rik	-0.5
Klf12	1700034h15rik	-0.5
Klf4	1700034h15rik	-0.5
Maz	1700034h15rik	-0.5
Myc	1700034h15rik	-0.5
Nrf1	1700034h15rik	-0.5
Pax5	1700034h15rik	-0.5
Atf3	1700052n19rik	0.5
E2f4	1700052n19rik	0.5
E2f6	1700052n19rik	0.5
Egr1	1700052n19rik	0.5
Egr3	1700052n19rik	0.5
Egr4	1700052n19rik	0.5
Elf4	1700052n19rik	0.5
Fos	1700052n19rik	0.5
Klf4	1700052n19rik	0.5
Maz	1700052n19rik	0.5
Nr2c2	1700052n19rik	0.5
Nrf1	1700052n19rik	0.5
Patz1	1700052n19rik	0.5
Pax5	1700052n19rik	0.5
Egr1	1700066b19rik	-0.5
Maz	1700066b19rik	-0.5
Nrf1	1700066b19rik	-0.5
Atf3	1700094d03rik	0.5
Egr1	1700094d03rik	0.5
Fos	1700094d03rik	0.5
Klf4	1700094d03rik	0.5
Maz	1700094d03rik	0.5
Fos	1700102p08rik	-0.5
Jun	1700102p08rik	-0.5
Egr1	1700123o20rik	-0.5
Fos	1700123o20rik	-0.5
Jun	1700123o20rik	-0.5
Klf12	1700123o20rik	-0.5
Klf4	1700123o20rik	-0.5
Nrf1	1700123o20rik	-0.5
Pax5	1700123o20rik	-0.5
Atf3	1810011h11rik	0.5
Atf3	1810013l24rik	-0.5
E2f4	1810013l24rik	-0.5
Egr1	1810013l24rik	-0.5
Egr4	1810013l24rik	-0.5
Fos	1810013l24rik	-0.5
Jun	1810013l24rik	-0.5
Klf12	1810013l24rik	-0.5
Klf4	1810013l24rik	-0.5
Myc	1810013l24rik	-0.5
Nrf1	1810013l24rik	-0.5
Pax5	1810013l24rik	-0.5
Atf3	1810022k09rik	-0.5
Egr1	1810022k09rik	-0.5
Hic1	1810022k09rik	-0.5
Klf12	1810022k09rik	-0.5
Klf4	1810022k09rik	-0.5
Atf3	1810037i17rik	0.5
E2f4	1810037i17rik	0.5
E2f6	1810037i17rik	0.5
Egr1	1810037i17rik	1.5
Egr3	1810037i17rik	0.5
Egr4	1810037i17rik	0.5
Fos	1810037i17rik	0.5
Klf4	1810037i17rik	0.5
Maz	1810037i17rik	0.5
Nrf1	1810037i17rik	0.5
Pax5	1810037i17rik	0.5
Rfx5	1810037i17rik	1.0
E2f6	1810043g02rik	0.5
Egr1	1810043g02rik	0.5
Egr4	1810043g02rik	0.5
Fos	1810043g02rik	0.5
Klf4	1810043g02rik	0.5
Pax5	1810043g02rik	0.5
Egr1	2010012o05rik	-0.5
Fos	2010012o05rik	-0.5
Pax5	2010012o05rik	-0.5
Egr1	2010107g12rik	-0.5
Fos	2010107g12rik	-0.5
Jun	2010107g12rik	-0.5
Klf12	2010107g12rik	-0.5
Pax5	2010107g12rik	-0.5
Atf3	2010111i01rik	-0.5
E2f4	2010111i01rik	-0.5
Egr1	2010111i01rik	-0.5
Egr3	2010111i01rik	-0.5
Fos	2010111i01rik	-0.5
Jun	2010111i01rik	-0.5
Klf4	2010111i01rik	-0.5
Myc	2010111i01rik	-0.5
Nrf1	2010111i01rik	-0.5
Pax5	2010111i01rik	-0.5
Egr1	2210016f16rik	0.5
Elf4	2210016f16rik	0.5
Nr2c2	2210016f16rik	0.5
Pax5	2210016f16rik	0.5
Bcl11a	2310022a10rik	-1.0
Dnmt1	2310022a10rik	-0.5
E2f4	2310022a10rik	-0.5
Egr1	2310022a10rik	-0.5
Fos	2310022a10rik	-0.5
