Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf7	5430435G22Rik	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	6430548M08Rik	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	9030617O03Rik	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	A830080D01Rik	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Abcb1b	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Acsbg1	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Acsl3	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Adcy9	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Aff1	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
Klf7	Agap1	1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.0, 0.0, 0.0	M0374_1.01_mm9, E10882_hg19, M0374_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf7
