Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Zfp281	0610009O20Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	1190007I07Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	1600014C10Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	1700009P17Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	1700021K19Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	1700086O06Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	2610318N02Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	2700049A03Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	2810417H13Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	3010026O09Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	3110062M04Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4632428N05Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4921507P07Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4930427A07Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4930481A15Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4930506M07Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	4930592I03Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	5033406O09Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	5830416P10Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	8430419L09Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	9330133O14Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	A330023F24Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	AA388235	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	AB124611	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	AW146154	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Abcc3	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Abhd12	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Abhd8	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Abi3	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Abl1	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Acad11	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Acat2	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Acbd4	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Adam19	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Adamts10	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
Zfp281	Adap1	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.0, 8.81508747034e-05, 0.0620344856465, 0.0620344856465	M0389_1.01_mm9, M5942_1.01_mm9, E12009_hg19, M0389_1.01_hg19, ZNF148-like_TFClassSubFam, factors_TFClassSubFam	Zfp281
