Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Bcl11a	2810442I21Rik	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	A930013F10Rik	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Acvr1b	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Cacna1d	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Cd44	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Cfp	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Col15a1	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Cxcl16	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Eln	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Emilin2	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Entpd1	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Epb4.1	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
Bcl11a	Eps8	-1	GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	3.98325712569e-05, 0.00419514031782, 0.347509137469	E10087_hg19, E10088_hg19, M4323_1.01_hg19, BCL11_TFClassSubFam	Bcl11a
