Regulator	Target	Weight
Fos	0610009o20rik	0.5
Egr2	1190007i07rik	0.5
Fos	1190007i07rik	0.5
Fos	1300002k09rik	0.5
Irf1	1300002k09rik	0.5
Klf4	1300002k09rik	0.5
Fos	1500012f01rik	0.5
Irf1	1500012f01rik	0.5
Klf4	1500012f01rik	0.5
Fos	1500015a07rik	0.5
Atf3	1600012h06rik	-0.5
Irf1	1600012h06rik	-0.5
Klf4	1600012h06rik	-0.5
Pax5	1600012h06rik	-0.5
Irf1	1600014c10rik	0.5
Atf3	1600029i14rik	-0.5
Fos	1600029i14rik	-0.5
Zfp219	1600029i14rik	-0.5
Atf3	1700001l05rik	-0.5
Egr2	1700001l05rik	-0.5
Fos	1700001l05rik	-0.5
Hes1	1700001l05rik	-0.5
Irf1	1700001l05rik	-0.5
Klf4	1700001l05rik	-0.5
Myc	1700001l05rik	-0.5
Pax5	1700001l05rik	-0.5
Zfp219	1700001l05rik	-0.5
Atf3	1700008o03rik	-0.5
Egr2	1700008o03rik	-0.5
Irf1	1700008o03rik	-0.5
Egr2	1700021k19rik	0.5
Irf1	1700021k19rik	0.5
Irf1	1700030j22rik	-0.5
Klf4	1700030j22rik	-0.5
Myc	1700030j22rik	-0.5
Irf1	1700034j05rik	-0.5
Pax5	1700034j05rik	-0.5
Fos	1700086o06rik	0.5
Atf3	1700094d03rik	-0.5
Fos	1700094d03rik	-0.5
Irf1	1700094d03rik	-0.5
Klf4	1700094d03rik	-0.5
Myc	1700094d03rik	-0.5
Zfp219	1700094d03rik	-0.5
Atf3	1810013l24rik	-0.5
Fos	1810013l24rik	-0.5
Irf1	1810013l24rik	-0.5
Klf4	1810013l24rik	-0.5
Myc	1810013l24rik	-0.5
Pax5	1810013l24rik	-0.5
Fos	1810043g02rik	0.5
Irf1	1810043g02rik	0.5
Klf4	1810043g02rik	0.5
Atf3	2010111i01rik	-0.5
Egr2	2010111i01rik	-0.5
Fos	2010111i01rik	-0.5
Irf1	2010111i01rik	-0.5
Klf4	2010111i01rik	-0.5
Myc	2010111i01rik	-0.5
Pax5	2010111i01rik	-0.5
Egr2	2010300c02rik	0.5
Irf1	2010300c02rik	0.5
Atf3	2200002d01rik	-0.5
Egr2	2200002d01rik	-0.5
Klf4	2200002d01rik	-0.5
Atf3	2310011j03rik	-0.5
Irf1	2310011j03rik	-0.5
Klf4	2310011j03rik	-0.5
Myc	2310011j03rik	-0.5
Pax5	2310011j03rik	-0.5
Atf3	2310033p09rik	-0.5
Egr2	2310033p09rik	-0.5
Myc	2310033p09rik	-0.5
Pax5	2310033p09rik	-0.5
Zfp219	2310033p09rik	-0.5
Atf3	2410004b18rik	-0.5
Fos	2410004b18rik	-0.5
Hic1	2410004b18rik	-0.5
Irf1	2410004b18rik	-0.5
Klf4	2410004p03rik	0.5
Egr2	2410006h16rik	0.5
Fos	2410006h16rik	0.5
Klf4	2410015m20rik	0.5
Irf1	2610203c22rik	-0.5
Pax5	2610203c22rik	-0.5
Egr2	2610318n02rik	0.5
Irf1	2610318n02rik	0.5
Klf4	2610318n02rik	0.5
Fos	2700049a03rik	0.5
Irf1	2700049a03rik	0.5
Fos	2700060e02rik	0.5
Irf1	2700060e02rik	0.5
Klf4	2700060e02rik	0.5
Egr2	2810417h13rik	0.5
Fos	2900005j15rik	-0.5
Hes1	2900005j15rik	-0.5
Myc	2900005j15rik	-0.5
Pax5	2900005j15rik	-0.5
Zfp219	2900005j15rik	-0.5
Egr2	3010026o09rik	0.5
Irf1	3010026o09rik	0.5
Klf4	3010026o09rik	0.5
Atf3	3110002h16rik	-0.5
Egr2	3110002h16rik	-0.5
Irf1	3110002h16rik	-0.5
Klf4	3110002h16rik	-0.5
Myc	3110002h16rik	-0.5
Pax5	3110002h16rik	-0.5
Fos	3110062m04rik	0.5
Irf1	3110062m04rik	0.5
Irf1	3930402g23rik	-0.5
Pax5	3930402g23rik	-0.5
Fos	4632428n05rik	0.5
Irf1	4632428n05rik	0.5
Klf4	4632428n05rik	0.5
Egr2	4921507p07rik	0.5
Irf1	4921507p07rik	0.5
Klf4	4921507p07rik	0.5
Atf3	4930417o13rik	-0.5
Hes1	4930417o13rik	-0.5
Irf1	4930417o13rik	-0.5
Myc	4930417o13rik	-0.5
Fos	4930427a07rik	0.5
Irf1	4930427a07rik	0.5
Klf4	4930427a07rik	0.5
Egr2	4930481a15rik	0.5
Fos	4930481a15rik	0.5
Irf1	4930481a15rik	0.5
Klf4	4930481a15rik	0.5
Fos	4930506m07rik	0.5
Egr2	4930513n10rik	-0.5
Irf1	4930513n10rik	-0.5
Fos	4930515g01rik	0.5
Fos	4930562f07rik	0.5
Fos	4930581f22rik	-0.5
Irf1	4930581f22rik	-0.5
Klf4	4930581f22rik	-0.5
Egr2	4930592i03rik	0.5
Fos	4930592i03rik	0.5
Irf1	4930592i03rik	0.5
Klf4	4930592i03rik	0.5
Irf1	4931406c07rik	0.5
Klf4	4931406c07rik	0.5
Atf3	4931406p16rik	-0.5
Egr2	4931406p16rik	-0.5
Fos	4931406p16rik	-0.5
Hic1	4931406p16rik	-0.5
Irf1	4931406p16rik	-0.5
Klf4	4931406p16rik	-0.5
Myc	4931406p16rik	-0.5
Pax5	4931406p16rik	-0.5
Zfp219	4931406p16rik	-0.5
Fos	4931414p19rik	0.5
Irf1	4931414p19rik	0.5
Klf4	4931414p19rik	0.5
Atf3	4932438a13rik	-0.5
Irf1	4932438a13rik	-0.5
Klf4	4932438a13rik	-0.5
Myc	4932438a13rik	-0.5
Pax5	4932438a13rik	-0.5
Egr2	4932438h23rik	0.5
Fos	4932438h23rik	0.5
Irf1	4932438h23rik	0.5
Fos	4933407l21rik	0.5
Fos	4933421o10rik	0.5
Fos	5033406o09rik	0.5
Egr2	5830416p10rik	0.5
Fos	5830416p10rik	0.5
Irf1	5830416p10rik	0.5
Klf4	5830416p10rik	0.5
Irf1	5830417i10rik	0.5
Atf3	6330403a02rik	-0.5
Fos	6330416g13rik	0.5
Irf1	6330416g13rik	0.5
Egr2	6430562o15rik	-0.5
Myc	6430562o15rik	-0.5
Egr2	6430571l13rik	-0.5
Fos	6430571l13rik	-0.5
Irf1	6430571l13rik	-0.5
Klf4	6430571l13rik	-0.5
Myc	6430571l13rik	-0.5
Zfp219	6430571l13rik	-0.5
Irf1	8430419l09rik	0.5
Klf4	8430419l09rik	0.5
Atf3	8430427h17rik	-0.5
Egr2	8430427h17rik	-0.5
Fos	8430427h17rik	-0.5
Irf1	8430427h17rik	-0.5
Klf4	8430427h17rik	-0.5
Myc	8430427h17rik	-0.5
Pax5	8430427h17rik	-0.5
Zfp219	8430427h17rik	-0.5
Fos	9130008f23rik	0.5
Irf1	9130008f23rik	0.5
Klf4	9130008f23rik	0.5
Irf1	9330020h09rik	0.5
Fos	9330133o14rik	0.5
Klf4	9330133o14rik	0.5
Klf4	9430008c03rik	-0.5
Hic1	9430016h08rik	-0.5
Irf1	9430020k01rik	-0.5
Klf4	9430020k01rik	-0.5
Myc	9430020k01rik	-0.5
Zfp219	9430020k01rik	-0.5
Klf4	9430060i03rik	0.5
Egr2	A	0.5
Fos	A	0.5
Irf1	A	0.5
Klf4	A	0.5
Fos	A330023f24rik	0.5
Atf3	A530054k11rik	-0.5
Fos	A530054k11rik	-0.5
Myc	A530054k11rik	-0.5
Zfp219	A530054k11rik	-0.5
Irf1	A630012p03rik	0.5
Klf4	A630012p03rik	0.5
Egr2	A730017l22rik	0.5
Irf1	A730017l22rik	0.5
Klf4	A730017l22rik	0.5
Fos	A830080d01rik	-0.5
Irf1	A830080d01rik	-0.5
Klf4	A830080d01rik	-0.5
Pax5	A830080d01rik	-0.5
Fos	Aa388235	0.5
Irf1	Aa388235	0.5
Egr2	Aa543186	0.5
