	Bach1	E2f3	Ets1	Fosl1	Hey1	Klf8	Prdm1	Stat3	Zbtb7a	Zfp263	Zfp523
0610007p14rik	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
0610009o20rik	0	0	0	0	0	0	0	0	0	-0.5	0
0610010f05rik	0	0	0	0	0.5	0.5	0	0.5	0	0	0
0610040j01rik	0	0	0	0	0	0	0	-0.5	0	-0.5	0
1110001j03rik	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
1110007c09rik	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0.5	0
1110034g24rik	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
1110038b12rik	0	0	0	0	0	0	0	-0.5	0	-0.5	0
1190007i07rik	0	0	0	0	0	0	0	-0.5	0	-0.5	0
1500012f01rik	0	0	-0.5	0	0	-0.5	0	0	-0.5	-0.5	0
1600012h06rik	0	0.5	0	0	0	0	0	0	0	0.5	0
1600014c10rik	0	0	-0.5	0	0	0	0	0	-0.5	0	0
1700001l05rik	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0
1700009p17rik	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
1700037h04rik	0	0	0	0	0	-0.5	0	0	0	-0.5	0
1700056e22rik	0	0	0	0	0	-0.5	0	0	0	-0.5	0
1810011h11rik	0	0	-0.5	0	0	0	0	0	0	0	0
1810026j23rik	0	0	0	0	0	0	0	0.5	0	0	0
1810043g02rik	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
1810055g02rik	0	0	0	0	0	0.5	0	0	0	0	0
2010107g12rik	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
2010111i01rik	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
2010300c02rik	0	0	0	0	0	-0.5	0	0	0	-0.5	0
2310014l17rik	0	0	0	0	0	0	0	0.5	0	0.5	0
2310022a10rik	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
2310045n01rik	0	0	-0.5	0	0	-0.5	0	0	0	0	0
2410006h16rik	0	0	-0.5	0	0	0	0	0	-0.5	0	0
2610002j02rik	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
2610015p09rik	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
2700060e02rik	0	0	0	0	0	-0.5	0	0	-0.5	0	0
2700094k13rik	0	0	-0.5	0	0	0	0	0	-0.5	0	0
2810004n23rik	0	0	0	0	0	0	0	0	-0.5	-0.5	0
2810006k23rik	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
2810417h13rik	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
2810442i21rik	0	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0
2900026a02rik	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0
3110002h16rik	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
4632434i11rik	0	0.5	0	0	0	0	0	0	0.5	0.5	0
4833418n02rik	0	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	0
4930404n11rik	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0
4930427a07rik	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
4930430f08rik	0	0	-0.5	0	0	0	0	-0.5	0	0	-0.5
4931406c07rik	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
4931406h21rik	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0
4932438a13rik	0	0	0	0	0.5	0.5	0.5	0	0.5	0	0
4933411k20rik	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0
5031425f14rik	0	0	-0.5	0	0	0	0	0	0	0	0
5033406o09rik	0	0	0	0	0	0	0	0	0	-0.5	0
5430416n02rik	0	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	0
5430427o19rik	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
5730508b09rik	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
6330403a02rik	0	0	0	0	0	0	0	0	0.5	0	0
6330416g13rik	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
6430531b16rik	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0
6430562o15rik	0	0	0	0	0.5	0	0	0	0	0.5	0
6720489n17rik	0	0	0	0	0	0	0	0	0	-0.5	0
8430419l09rik	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
8430427h17rik	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
9130019o22rik	0	0	0	0	0	0.5	0	0.5	0	0	0
9130230l23rik	0.5	0	0	0.5	0	1.5	0.5	0.5	0	0	0
9330133o14rik	0	0	0	0	0	-0.5	0	0	0	-0.5	0
9430015g10rik	0	0	-0.5	0	0	-0.5	0	0	0	0	-0.5
9430020k01rik	0	0	0	0	0	0.5	0	0	0	0	0
9530059o14rik	0	0.5	0	0	0.5	0	0	0	0.5	0	0
9930111j21rik1	0	0	-0.5	0	0	0	0	0	0	0	0
9930111j21rik2	0	0	-0.5	0	0	0	0	0	0	0	0
A530099j19rik	0	0	0	0	0	0	0	0	0	-0.5	0
A630033h20rik	0	0	0	0	0	0	0	0.5	0	0.5	0
A830080d01rik	0	0.5	0	0	0	0.5	0	0	0.5	0	0
Aa987161	0	0	0	0	0	0	0.5	0.5	0.5	0	0
Aaas	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Aagab	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
Abca1	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Abca3	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0
Abca6	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Abcb1b	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0
Abcc1	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
Abcd1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Abcd2	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Abcg2	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Abcg3	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Abhd11	0	-0.5	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Abhd14b	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Abhd15	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0
Abi3	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Abl1	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	0	0
Abtb2	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Acaa1a	0	-0.5	0	0	0	-0.5	0	0	-0.5	-0.5	0
Acaa2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Acap3	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0.5	0
Acbd3	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Acbd6	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0
Acer2	0	0	0	0	0	0.5	0	0.5	0	0.5	0
Acot11	0	0	0	0	0	0	0	0.5	0	0.5	0
Acot2	0	-0.5	0	0	0	0	0	0	0	0	0
Acot8	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Acsbg1	0	0	0	0.5	0	0.5	0	0.5	0	0	0
Acsf3	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Acsl3	0	0.5	0	0.5	0.5	0.5	0	0	0.5	0.5	0
Acsl4	0	0	0	0	0.5	0	0	0.5	0	0.5	0
Acss1	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
