Regulator	Target	Weight
Atf3	1110006o24rik	-0.5
E2f1	1110006o24rik	-0.5
Egr1	1110006o24rik	-0.5
Fos	1110006o24rik	-0.5
Klf4	1110006o24rik	-0.5
E2f1	1110032f04rik	-0.5
Egr1	1110032f04rik	-0.5
Atf3	1110051m20rik	0.5
Klf4	1110051m20rik	0.5
Egr1	1300002k09rik	0.5
Klf4	1300002k09rik	0.5
Egr1	1500012f01rik	0.5
Klf4	1500012f01rik	0.5
Atf3	1600002k03rik	0.5
Egr1	1600002k03rik	1.5
Klf4	1600002k03rik	0.5
Atf3	1600012h06rik	-1.5
Bcl6	1600012h06rik	-1.0
E2f1	1600012h06rik	-0.5
Egr1	1600012h06rik	-0.5
Klf4	1600012h06rik	-1.5
Atf3	1600029i14rik	0.5
Egr1	1600029i14rik	0.5
E2f1	1700020i14rik	-0.5
Egr1	1700020i14rik	-0.5
Hic1	1700020i14rik	-0.5
Atf3	1700025g04rik	0.5
Egr1	1700025g04rik	0.5
Klf4	1700025g04rik	0.5
Egr2	1700029h14rik	-0.5
Atf3	1700034h15rik	0.5
Egr1	1700034h15rik	0.5
Klf4	1700034h15rik	0.5
Egr1	1700052k11rik	-0.5
Klf4	1700061g19rik	-0.5
Atf3	1700092m07rik	0.5
Egr1	1700092m07rik	0.5
Klf4	1700092m07rik	0.5
Atf3	1700096k18rik	0.5
Egr1	1700096k18rik	0.5
Klf4	1700096k18rik	0.5
Atf3	1810011h11rik	0.5
Egr1	2010107g12rik	-0.5
Egr2	2010107g12rik	-0.5
Fos	2010107g12rik	-0.5
Jun	2010107g12rik	-0.5
Atf3	2010111i01rik	-0.5
E2f1	2010111i01rik	-0.5
Egr1	2010111i01rik	-0.5
Egr2	2010111i01rik	-0.5
Egr3	2010111i01rik	-0.5
Fos	2010111i01rik	-0.5
Jun	2010111i01rik	-0.5
Klf4	2010111i01rik	-0.5
Atf3	2010300c02rik	0.5
Egr1	2010300c02rik	0.5
Egr1	2210016l21rik	0.5
Egr1	2210417a02rik	0.5
Klf4	2210417a02rik	0.5
E2f1	2310003h01rik	-0.5
Egr1	2310003h01rik	-0.5
Egr3	2310003h01rik	-0.5
Hic1	2310003h01rik	-0.5
E2f1	2310022a10rik	-0.5
Egr1	2310022a10rik	-0.5
Egr2	2310022a10rik	-0.5
Fos	2310022a10rik	-0.5
Klf4	2310022a10rik	-0.5
Atf3	2310022b05rik	-0.5
