Regulator	Target	Weight
Cebpb	0610007p14rik	-0.5
Creb1	0610007p14rik	-0.5
Elf2	0610007p14rik	-0.5
Ets1	0610007p14rik	-0.5
Hey1	0610007p14rik	-0.5
Stat3	0610007p14rik	-0.5
Taf1	0610007p14rik	-0.5
Ets1	0610009b22rik	-0.5
Hey1	0610009b22rik	-0.5
Taf1	0610009b22rik	-0.5
Cebpb	0610009o20rik	-0.5
Creb1	0610010k14rik	-0.5
Elf2	0610010k14rik	-1.5
Ets1	0610010k14rik	-1.5
Etv1	0610010k14rik	-1.5
Etv3	0610010k14rik	-0.5
Fli1	0610010k14rik	-0.5
Hey1	0610010k14rik	-1.5
Klf5	0610010k14rik	-0.5
Plagl1	0610010k14rik	-1.0
Taf1	0610010k14rik	-1.5
Zbtb7a	0610010k14rik	-1.5
Creb1	0610039k10rik	-0.5
Hey1	0610039k10rik	-0.5
Klf5	0610039k10rik	-0.5
Klf7	0610039k10rik	-0.5
Pou2f2	0610039k10rik	-0.5
Zbtb7a	0610039k10rik	-0.5
Elf2	0610040j01rik	-0.5
Mxi1	0610040j01rik	-0.5
Pou2f2	0610040j01rik	-0.5
Stat3	0610040j01rik	-0.5
Ebf1	1110007c09rik	0.5
Ets1	1110007c09rik	1.5
Fosl2	1110007c09rik	1.5
Irf4	1110007c09rik	0.5
Klf14	1110007c09rik	0.5
Klf5	1110007c09rik	0.5
Klf7	1110007c09rik	0.5
Nfkb1	1110007c09rik	0.5
Pou2f2	1110007c09rik	0.5
Prdm1	1110007c09rik	0.5
Rela	1110007c09rik	0.5
Taf1	1110007c09rik	0.5
Zbtb7a	1110007c09rik	0.5
Elf2	1110008l16rik	-0.5
Ets1	1110008l16rik	-0.5
Fli1	1110008l16rik	-0.5
Stat3	1110008l16rik	-0.5
Taf1	1110008l16rik	-0.5
Zbtb33	1110008l16rik	-0.5
Ets1	1110032f04rik	0.5
Hey1	1110032f04rik	0.5
Pou2f2	1110032f04rik	0.5
Zbtb33	1110032f04rik	0.5
Zbtb7a	1110032f04rik	0.5
Elf2	1110051m20rik	-0.5
Fli1	1110051m20rik	-0.5
Klf5	1110051m20rik	-0.5
Mxi1	1110051m20rik	-0.5
Nfe2l2	1110051m20rik	-0.5
Stat3	1110051m20rik	-0.5
Tbx3	1110051m20rik	-0.5
Ets1	1110059e24rik	-0.5
Hey1	1110059e24rik	-0.5
Mxi1	1110059e24rik	-0.5
Pou2f2	1110059e24rik	-0.5
Stat3	1110059e24rik	-0.5
Taf1	1110059e24rik	-0.5
Zbtb33	1110059e24rik	-0.5
Elf2	1200014j11rik	-0.5
Ets1	1200014j11rik	-0.5
Fli1	1200014j11rik	-0.5
Nfe2l2	1200014j11rik	-0.5
Zbtb7a	1200014j11rik	-0.5
Cebpb	1300002k09rik	-0.5
Ets1	1300002k09rik	-0.5
Fli1	1300002k09rik	-0.5
Klf14	1300002k09rik	-0.5
Klf5	1300002k09rik	-0.5
Klf7	1300002k09rik	-0.5
Mtf1	1300002k09rik	-0.5
Mxi1	1300002k09rik	-0.5
Nfe2l2	1300002k09rik	-0.5
Pou2f2	1300002k09rik	-0.5
Stat3	1300002k09rik	-0.5
Taf1	1300002k09rik	-0.5
Cebpb	1500012f01rik	-0.5
Ets1	1500012f01rik	-0.5
Fli1	1500012f01rik	-0.5
Klf5	1500012f01rik	-0.5
Klf7	1500012f01rik	-0.5
Taf1	1500012f01rik	-0.5
Zbtb7a	1500012f01rik	-0.5
Elf2	1500015a07rik	-0.5
Ets1	1500015a07rik	-0.5
Etv1	1500015a07rik	-0.5
Etv3	1500015a07rik	-0.5
Fli1	1500015a07rik	-0.5
Insm1	1500015a07rik	-0.5
Klf14	1500015a07rik	-0.5
Klf7	1500015a07rik	-0.5
Nfe2l2	1500015a07rik	-0.5
Elf2	1600002h07rik	-0.5
Klf14	1600002h07rik	-0.5
Klf5	1600002h07rik	-0.5
Klf7	1600002h07rik	-0.5
Mtf1	1600002h07rik	-0.5
Taf1	1600002h07rik	-0.5
Ebf1	1600012h06rik	1.5
Ets1	1600012h06rik	0.5
Rela	1600012h06rik	0.5
Zbtb33	1600012h06rik	0.5
Cebpb	1600014c10rik	-0.5
Ets1	1600014c10rik	-0.5
Fli1	1600014c10rik	-0.5
Hey1	1600014c10rik	-0.5
Taf1	1600014c10rik	-0.5
Zbtb7a	1600014c10rik	-0.5
Cebpb	1600016n20rik	-0.5
Hey1	1600016n20rik	-0.5
Insm1	1600016n20rik	-0.5
Klf14	1600016n20rik	-0.5
Klf5	1600016n20rik	-0.5
Klf7	1600016n20rik	-0.5
Pou2f2	1600016n20rik	-0.5
Creb1	1700001p01rik	-0.5
Klf14	1700001p01rik	-0.5
Klf5	1700001p01rik	-0.5
Klf7	1700001p01rik	-0.5
Mxi1	1700001p01rik	-0.5
Ets1	1700009p17rik	-0.5
Etv1	1700009p17rik	-0.5
Etv3	1700009p17rik	-0.5
Fli1	1700009p17rik	-0.5
Stat3	1700009p17rik	-0.5
Taf1	1700009p17rik	-0.5
Taf1	1700017b05rik	-0.5
Elf2	1700021k19rik	-0.5
Ets1	1700021k19rik	-0.5
Etv1	1700021k19rik	-0.5
