Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Prdm1	1110007C09Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	2010107G12Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	2010111I01Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	2810442I21Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	3110002H16Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	4930404N11Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	4931406H21Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	4932438A13Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	8430427H17Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	9130230L23Rik	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	AA987161	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	AI504432	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	AU019823	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Abca1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Abca6	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Abtb2	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Acss1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Actn1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Adam9	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Adora2a	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Adssl1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Aebp2	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Aff1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Aff3	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Agk	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Agpat4	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Agpat9	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ahnak	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Aim1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Airn	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Akap13	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Alcam	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Alox5ap	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ank	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ank2	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ankrd11	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ankrd12	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Ankrd28	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Antxr2	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Anxa1	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
Prdm1	Anxa11	.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	3.89029333014e-06, 0.771245183156, 0.848848749339, 0.914221524998, 0.985661857227, 0.987919656562, 0.98855365856, 0.98855365856	M4586_1.01_mm9, E11392_hg19, E11393_hg19, E11394_hg19, E11395_hg19, M2177_1.01_hg19, M5568_1.01_hg19, M6254_1.01_hg19, PRDM1-like_TFClassSubFam, factors_TFClassSubFam	Prdm1
