Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf8	1500012F01Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	1700037H04Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	1700056E22Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	1810043G02Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	2010300C02Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	2310045N01Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	2700060E02Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	2810006K23Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	2900026A02Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	4833418N02Rik	-.5	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	3.6649239199e-11, 0.159017521691	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
