Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf8	Galt	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Gtf2i	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Kif20b	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Mtmr4	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Ncf1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Nudt14	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Prkra	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Rps10	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Slc5a6	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Susd1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Uba52	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
Klf8	Ubc	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	5.6459210473e-05, 0.259712042204	M0390_1.01_mm9, M6145_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf8
