Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Rest	1500015A07Rik	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	1700029J07Rik	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	9130008F23Rik	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Arfip2	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Asf1b	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Camk2a	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Chd9	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Cirbp	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Cmtm8	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
Rest	Dusp1	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000162026955732, 0.00472713578243, 0.00696564777909, 0.0179113155946, 0.0849166206781, 0.0973663057595, 0.100377711984, 0.20040878223, 0.222538086129, 0.264115737569, 0.275057116967, 0.283388735278, 0.283388735278, 0.304172763461, 0.307800263264, 0.310906661771, 0.310906661771, 0.444915120743, 0.460420324208, 0.508582793151, 0.566540258107, 0.632625682687	E11454_hg19, E11455_hg19, E11456_hg19, E11457_hg19, E11458_hg19, E11459_hg19, E11460_hg19, E11461_hg19, E11462_hg19, E11463_hg19, E11464_hg19, E11465_hg19, E11466_hg19, E11467_hg19, M1826_1.01_hg19, M3536_1.01_hg19, M4339_1.01_hg19, M4378_1.01_hg19, M4414_1.01_hg19, M4444_1.01_hg19, M4459_1.01_hg19, M4500_1.01_hg19, M4525_1.01_hg19, M4527_1.01_hg19, M4537_1.01_hg19, M6269_1.01_hg19, unclassified_TFClassSubFam	Rest
