Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Irf2	Atf3	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Gm14005	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Lpp	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Pdlim2	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Psmb9	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Rap1gap2	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Rapgef1	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf2	Tpx2	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	9.59320071967e-05, 9.59320071967e-05, 0.00144717771367, 0.0154873449587, 0.0251234175814, 0.0251234175814	M1172_1.01_mm9, E10826_hg19, E10827_hg19, M1753_1.01_hg19, M3341_1.01_hg19, M6127_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf2
Irf4	Aim2	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Amica1	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Atf3	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Baiap2l1	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Fndc5	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Gm14005	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
Irf4	Hmg20a	1	GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down_GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	8.59016702215e-08, 0.000186261769869, 0.0427756804032, 0.106416176013, 0.106416176013	M1168_1.01_mm9, E10831_hg19, E10832_hg19, E10833_hg19, E10834_hg19, E10835_hg19, M4333_1.01_hg19, M5392_1.01_hg19, M6129_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf4
