Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Zfp369	Adssl1	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Agbl3	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Arl4c	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Asap1	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Asph	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Atp9b	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Calm1	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Cd9	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Csf2rb2	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
Zfp369	Cyth4	-1	GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down_GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	0.000134088215372, 0.000500100869631, 0.00561297315758, 0.532975672379	M4421_1.01_hg19, M4425_1.01_hg19, M4475_1.01_hg19, M4523_1.01_hg19, unclassified_TFClassSubFam	Zfp369
