Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Irf7	Ccrl2	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Deb1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Dusp10	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Fh1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Gltscr2	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Kmo	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Mta3	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Nfkbia	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Nmral1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Parp14	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Plbd1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Siva1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Tbc1d1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Ubac2	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Zfp277	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	1.42608719166e-05, 0.000144602398471, 0.000144602398471, 0.194566852062, 0.194566852062, 0.402179852181	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf8	1810043G02Rik	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	2.68532223802e-06, 1.09963695846e-05, 0.000113053856205, 0.000113053856205, 0.0133476991975, 0.0133476991975	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	4930427A07Rik	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	2.68532223802e-06, 1.09963695846e-05, 0.000113053856205, 0.000113053856205, 0.0133476991975, 0.0133476991975	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	5730508B09Rik	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	2.68532223802e-06, 1.09963695846e-05, 0.000113053856205, 0.000113053856205, 0.0133476991975, 0.0133476991975	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Arhgap32	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	2.68532223802e-06, 1.09963695846e-05, 0.000113053856205, 0.000113053856205, 0.0133476991975, 0.0133476991975	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Arhgef3	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	2.68532223802e-06, 1.09963695846e-05, 0.000113053856205, 0.000113053856205, 0.0133476991975, 0.0133476991975	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
