		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		25	56	36	24	86	73	82	67	70	68	60	73
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down	127	19	24	21	26	25	33	37	33	12	24	22	30
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_up	189	20	71	26	71	45	99	48	91	56	63	39	49
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	93	13	9	4	11	8	18	13	21	13	19	16	21
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	135	14	43	30	34	25	63	39	61	33	45	33	47
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	181	46	27	43	39	80	62	66	76	57	45	49	43
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	184	28	49	13	50	20	65	25	63	26	51	50	45
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down	364	55	58	50	77	80	75	79	96	69	70	58	65
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up	244	63	112	63	115	89	143	80	150	84	122	91	106
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down	140	14	23	12	37	11	27	19	30	16	15	13	21
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up	108	9	22	24	40	43	44	34	59	33	38	31	24
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_down	32	5	2	2	3	2	5	3	7	1	1	0	4
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up	50	23	29	30	13	43	30	38	42	36	29	21	28
