Total genes and peaks mapped to +/-locbp of gene genesets of various gene sets

	Total peaks mapped to various ATACseq peak sets

	Total peaks mapped to the intersection of ATACseq-based and gene-based sets

		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
	totGenes	1405	1814	1211	2065	2459	2820	2455	3226	1832	1868	2065	2274
	totPeaks	15191	17775	12804	22712	22895	28446	23686	30813	17868	19511	19170	19646
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down	1055	190	112	160	139	238	175	270	184	192	143	180	131
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_up	1572	112	281	102	379	183	436	175	464	158	292	172	260
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	545	91	66	62	92	114	110	105	120	100	91	105	79
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	764	31	115	41	181	94	165	58	177	44	106	50	93
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	1944	275	226	224	330	428	351	419	357	291	279	314	242
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	3041	169	521	154	711	262	843	230	928	227	595	283	502
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down	5312	652	606	529	887	951	948	960	1058	742	716	758	672
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up	3056	263	495	272	591	440	840	452	841	349	512	379	502
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down	1519	172	173	134	271	227	262	207	320	204	190	175	174
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up	649	57	111	43	159	98	182	105	187	54	148	79	126
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_down	453	45	57	27	82	47	98	58	84	32	63	41	57
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up	2047	166	197	151	300	274	303	267	354	188	229	207	237
