Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_down	NA	0.0	1.18689815753e-08	0.0	2.51684229013e-11	7.77180542144e-11	0.0	0.0	0.0	0.0	0.0	2.51083598357e-11	9.16059006428e-10
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_down	NA	3.82539888655e-09	0.0	2.11852412979e-05	0.0	7.71882557871e-11	0.0	1.3404721777e-10	0.0	5.6638068846e-07	1.67729607981e-10	1.83761883488e-09	0.0
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_up	NA	0.0126249618633	0.0	0.0250342236012	0.0	0.0	0.0	0.000569832120813	0.0	0.0128321041026	0.0	2.8860926066e-05	0.0
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down	NA	0.0	0.0	0.0	7.01684266247e-11	6.82468526136e-11	0.0	0.0	0.0	0.0	0.0	7.01684266247e-11	0.0
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down	NA	0.0	0.0	5.29025712126e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up	NA	4.95636627262e-06	0.0	1.20996031905e-06	0.0	0.0	0.0	0.0	0.0	0.00109684689468	0.0	3.86608218772e-08	0.0
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_down	NA	2.27650226048e-06	0.0	0.000848203939124	0.0	0.184002039724	0.0	0.0607403750326	0.0	0.301082489891	0.0	3.62347873571e-05	0.0
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up	NA	0.0	0.0	1.16732512545e-10	5.42552669458e-11	1.44250611456e-10	4.17756940152e-11	0.0	1.38100308966e-10	3.22764037719e-12	8.85262974037e-11	5.42552669458e-11	0.0
Macrophages_v_Monocytes_FC1_FDR10_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_v_Monocytes_FC1_FDR10_up	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
