	Atf3	Bcl6	E2f1	Egr1	Egr2	Fos	Jun	Klf4
1110006o24rik	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
1110032f04rik	0	0	-0.5	-0.5	0	0	0	0
1110051m20rik	0	0	0	0	0	0	0	0.5
1300002k09rik	0	0	0	0	0	0	0	0.5
1500012f01rik	0	0	0	0	0	0	0	0.5
1600002k03rik	0	0	0	0	0	0	0	0.5
1600012h06rik	-0.5	0	-0.5	-0.5	0	0	0	-0.5
1700020i14rik	0	0	-0.5	-0.5	0	0	0	0
1700025g04rik	0	0	0	0	0	0	0	0.5
1700029h14rik	0	0	0	0	-0.5	0	0	0
1700034h15rik	0	0	0	0	0	0	0	0.5
1700052k11rik	0	0	0	-0.5	0	0	0	0
1700061g19rik	0	0	0	0	0	0	0	-0.5
1700092m07rik	0	0	0	0	0	0	0	0.5
1700096k18rik	0	0	0	0	0	0	0	0.5
2010107g12rik	0	0	0	-0.5	-0.5	-0.5	-0.5	0
2010111i01rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
2210417a02rik	0	0	0	0	0	0	0	0.5
2310003h01rik	0	0	-0.5	-0.5	0	0	0	0
2310022a10rik	0	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
2310022b05rik	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
2310057m21rik	-0.5	0	0	-0.5	-0.5	0	0	0
2410004b18rik	-0.5	0	0	-0.5	0	-0.5	-0.5	0
2610008e11rik	0	0	0	-0.5	0	0	0	0
2610035d17rik	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
2810408a11rik	0	0	0	0	0	0	0	0.5
2810442i21rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
2810474o19rik	-0.5	0	-0.5	0	0	0	0	0
2900026a02rik	0	0	0	0	0	0	0	0.5
3110002h16rik	-0.5	0	0	-0.5	-0.5	0	-0.5	-0.5
3110043o21rik	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	-0.5
4632428n05rik	0	0	0	0	0	0	0	0.5
4831440e17rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
4930481a15rik	0	0	0	0	0	0	0	0.5
4931406p16rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
4932438a13rik	-0.5	0	0	-0.5	0	0	0	-0.5
4933426m11rik	0	0	0	0	0	0	0	0.5
5031414d18rik	-0.5	0	0	-0.5	0	-0.5	-0.5	0
5430405h02rik	0	0	0	0	0	0	0	0.5
5430417l22rik	0	0	0	0	0	0	0	0.5
5430435g22rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
6230400d17rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
6330549d23rik	0	0	0	0	-0.5	-0.5	-0.5	-0.5
6430548m08rik	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
8030462n17rik	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
8430419l09rik	0	0	0	0	0	0	0	0.5
8430427h17rik	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
9030617o03rik	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
9130019o22rik	-0.5	0	0	-0.5	0	-0.5	-0.5	0
9330133o14rik	0	0	0	0	0	0	0	0.5
9330175e14rik	0	0	0	-0.5	0	0	0	0
9430015g10rik	0	0	0	0	0	0	0	0.5
9430076c15rik	-0.5	0	0	-0.5	0	0	-0.5	-0.5
A430078g23rik	0	0	0	0	0	0	0	0.5
A630072m18rik	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Aa987161	-0.5	0	0	-0.5	0	-0.5	-0.5	0
Aatf	0	0	0	0	0	0	0	0.5
Ab124611	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Abca1	-0.5	0	0	-0.5	0	-0.5	0	-0.5
Abca2	0	0	0	0	0	0	0	0.5
Abcd1	0	0	0	0	0	0	0	0.5
Abcg3	0	0	0	0	0	0	0	0.5
Abhd13	0	0	0	-0.5	-0.5	0	0	-0.5
Abl1	0	0	0	0	0	0	0	0.5
Abl2	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Ablim3	-0.5	0	0	0	0	0	0	0
Abr	0	0	0	0	0	0	0	0.5
Abtb2	0	0	-0.5	-0.5	0	-0.5	-0.5	0
Acaa2	0	0	0	0	0	0	0	0.5
Acbd3	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Acer2	-0.5	0	0	-0.5	0	-0.5	0	-0.5
Aco1	0	0	0	0	0	0	0	0.5
Acot11	0	0	0	0	0	0	0	0.5
Acot9	-0.5	0	0	0	0	-0.5	-0.5	-0.5
Acsf2	0	0	0	0	0	0	0	0.5
Acsl1	0	0	0	0	0	0	0	0.5
Acta2	0	0	0	0	0	-0.5	0	0
Actr5	0	0	0	0	0	0	0	0.5
Acvr2a	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Adam8	0	0	0	-0.5	-0.5	0	-0.5	-0.5
Adam9	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Adamts2	-0.5	0	0	0	0	0	0	0
Adamts4	-0.5	0	-0.5	0	0	0	-0.5	0
Adap1	0	0	0	0	0	0	0	0.5
Adap2	0	0	-0.5	-0.5	-0.5	0	0	-0.5
Adarb1	0	0	-0.5	-0.5	0	0	-0.5	-0.5
Adc	0	0	0	0	0	0	0	0.5
Adck1	0	0	0	0	0	0	0	0.5
Adcy4	0	0	-0.5	-0.5	-0.5	-0.5	0	0
Adcy9	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Adhfe1	0	0	0	-0.5	0	0	0	0
Adnp2	0	0	0	0	0	0	0	0.5
Adora2a	0	0	0	0	0	0	0	0.5
Adora2b	-0.5	0	0	-0.5	-0.5	0	0	0
Adora3	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Adra2b	0	0	0	0	-0.5	0	0	0
Adss	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Aebp1	0	0	-0.5	0	0	0	0	0
Afap1	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Afap1l2	0	0	0	0	0	0	-0.5	0
Aff1	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Aftph	-0.5	0	0	-0.5	-0.5	0	-0.5	0
Agap1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Agfg2	0	0	0	0	0	0	0	0.5
Agpat2	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Agpat4	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Agpat9	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Agrn	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Ahnak	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Ahsa2	0	0	0	0	0	0	0	0.5
Ai467606	0	0	0	0	0	0	0	0.5
Ai504432	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Ai661453	-0.5	0	-0.5	0	0	0	-0.5	0
Aim1	0	0	-0.5	-0.5	0	0	0	-0.5
Aip	0	0	0	0	0	0	0	0.5
Airn	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Ak129341	0	0	0	-0.5	-0.5	-0.5	0	-0.5
Akap12	-0.5	0	0	-0.5	-0.5	0	-0.5	-0.5
Akap5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Alcam	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Aldh3b1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Alkbh4	0	0	0	-0.5	0	0	0	0
Alox5ap	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Aloxe3	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	0
Als2	0	0	0	0	0	0	0	0.5
Ammecr1l	-0.5	0	0	-0.5	-0.5	0	0	-0.5
Amotl1	0	0	0	-0.5	0	0	0	0
Amotl2	0	0	-0.5	-0.5	0	0	0	0
Ampd2	0	0	0	0	0	0	0	0.5
Ampd3	0	0	0	0	0	0	0	0.5
Ang	-0.5	0	0	-0.5	-0.5	-0.5	0	0
Ank	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Ank3	0	0	0	0	0	-0.5	0	-0.5
Ankle1	0	0	0	0	0	0	0	0.5
Ankrd13b	0	0	0	0	0	0	0	0.5
Ankrd24	0	0	0	0	0	0	0	0.5
Ankrd27	0	0	0	0	0	0	0	0.5
Ankrd28	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Ankrd50	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Anks1	0	0	0	0	0	0	0	0.5
Antxr1	-0.5	0	0	-0.5	-0.5	-0.5	0	0
Antxr2	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Anxa1	0	0	0	0	0	-0.5	-0.5	0
Anxa11	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5
Anxa2	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Anxa7	0	0	0	-0.5	0	-0.5	0	-0.5
Ap1g1	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Ap3d1	0	0	0	0	0	0	0	0.5
Apba1	0	0	0	0	0	0	0	0.5
Aplp2	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Apoe	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
Appl1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0
Aprt	0	0	0	0	0	0	0	0.5
Arf6	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Arfgef2	0	0	0	0	0	0	0	0.5
Arhgap10	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Arhgap12	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Arhgap23	-0.5	0	0	0	0	-0.5	-0.5	0
Arhgap26	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Arhgap39	0	0	0	0	0	0	0	0.5
Arhgef18	0	0	0	0	0	0	0	0.5
Arhgef3	0	0	0	0	0	0	0	0.5
Arhgef37	0	0	0	0	0	0	0	0.5
Arid1a	0	0	0	0	0	0	0	0.5
Arid3a	0	0	-0.5	-0.5	0	0	0	-0.5
Arid4b	0	0	-0.5	-0.5	-0.5	0	0	0
Arl11	0	0	0	0	0	0	0	0.5
Arl2bp	-0.5	0	0	-0.5	-0.5	-0.5	0	0
Arl5a	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Arl5c	0	0	0	0	0	0	0	0.5
Arl6	0	0	-0.5	0	0	-0.5	-0.5	-0.5
Arntl	0	0	-0.5	-0.5	-0.5	-0.5	0	0
Arrb1	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	0
Arrdc3	0	0	0	0	0	0	0	0.5
Arsi	0	0	0	-0.5	0	-0.5	-0.5	0
Asap2	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Ascc1	0	0	0	0	0	0	0	0.5
Asxl1	0	0	-0.5	-0.5	0	-0.5	-0.5	0
Atf2	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Atf3	0	0	0	0	0	0	0	0.5
Atmin	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Atp10a	0	0	-0.5	0	0	0	-0.5	-0.5
Atp11b	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Atp11c	0	0	0	-0.5	0	-0.5	0	0
Atp1a1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Atp1a2	0	0	0	0	-0.5	0	0	0
Atp1a3	0	0	0	0	0	0	0	0.5
Atp1b3	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Atp2a3	0	0	0	0	0	0	0	0.5
Atp2b1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Atp2b4	0	0	-0.5	-0.5	-0.5	0	-0.5	-0.5
Atp4a	0	0	0	0	0	0	0	0.5
Atp5s	0	0	0	0	0	0	0	0.5
Atp5sl	0	0	0	0	0	0	0	0.5
Atp8b1	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0
Atp8b4	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Atrn	0	0	0	-0.5	-0.5	0	0	-0.5
Au019823	0	0	-0.5	-0.5	-0.5	-0.5	0	0
Auh	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
Aurkb	0	0	0	0	0	0	0	0.5
Avl9	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Aw011738	0	0	0	0	0	0	0	0.5
Aw112010	0	0	0	0	0	0	0	0.5
Aw549877	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Axl	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
B230217c12rik	0	0	0	0	0	0	0	0.5
B3gnt5	-0.5	0	0	0	0	0	0	-0.5
B3gnt8	0	0	-0.5	-0.5	0	-0.5	-0.5	-0.5
B4galt3	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
B4galt5	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
B4galt6	0	0	0	0	0	0	0	0.5
Bahcc1	0	0	-0.5	0	0	-0.5	-0.5	0
Baiap2l1	0	0	0	0	0	0	0	0.5
Banp	0	0	0	0	0	0	0	0.5
Basp1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Batf3	0	0	0	0	0	0	0	0.5
Bbs12	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Bc026585	0	0	0	0	0	0	0	0.5
Bc028528	0	0	0	-0.5	-0.5	-0.5	0	0
Bc029214	0	0	0	0	0	0	0	0.5
Bc030307	0	0	0	0	0	0	0	0.5
Bc030336	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Bc053749	0	0	0	0	0	0	0	0.5
Bc068157	0	0	0	0	0	0	0	0.5
Bcar1	0	0	-0.5	0	0	-0.5	0	-0.5
Bcar3	0	0	-0.5	0	0	-0.5	-0.5	-0.5
Bccip	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Bckdha	0	0	0	0	0	0	0	0.5
Bcl2l1	-0.5	0	-0.5	-0.5	0	0	-0.5	-0.5
Bcl2l11	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Bcl2l2	0	0	0	0	0	0	0	0.5
Bcl3	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Bcl6	0	0	0	0	0	0	0	0.5
Bco2	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Bcorl1	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Bcr	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Bend3	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Bhlhb9	0	0	0	0	0	0	0	0.5
Blzf1	-0.5	0	0	0	0	-0.5	0	-0.5
