Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Irf1	1300002K09Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1500012F01Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1600002K03Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1700025G04Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1700034H15Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1700092M07Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	1700096K18Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	2010300C02Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	2210417A02Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	2810408A11Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	2900026A02Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	4632428N05Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
Irf1	4930481A15Rik	-.5	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	0.0, 4.53866049432e-06, 0.00390628454835, 0.0440811917682, 0.224592913991, 0.224592913991, 0.430997108971, 0.430997108971, 0.518258047248, 0.803811455644	M1752_1.01_mm9, E10819_hg19, E10820_hg19, E10821_hg19, E10822_hg19, E10823_hg19, E10824_hg19, E10825_hg19, M1752_1.01_hg19, M3337_1.01_hg19, M6126_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf1
