Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Rela	Actn1	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Arf6	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Cdh23	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Chsy3	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Eln	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Fbn1	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Myo1e	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Nab2	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Ncald	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Ptprk	1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	1.60773970692e-07, 0.311718553879, 0.317072584811, 0.322862599719, 0.561954681277, 0.561954681277, 0.654988092038, 0.666251909179, 0.669112307512, 0.679526006393, 0.682469269633, 0.684222381452, 0.705979451821, 0.707964001449	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
