Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Fos	1110007C09Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	1700001L05Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	2010107G12Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	2010111I01Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	2610035D17Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	2810442I21Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	3110082I17Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	4732471J01Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	4833422C13Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	4930523C07Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
Fos	4933427D14Rik	-.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	2.82022600828e-08, 3.13748856229e-07, 8.77055860937e-07, 2.27675037856e-06, 0.00227752454078, 0.00227752454078, 0.0623162688548, 0.0711618388599, 0.546335369735, 0.959290876266, 0.99277149816	M2148_1.01_mm9, E10438_hg19, E10439_hg19, E10440_hg19, E10441_hg19, E10442_hg19, M2148_1.01_hg19, M4400_1.01_hg19, M4460_1.01_hg19, M4477_1.01_hg19, M6050_1.01_hg19, Fos_TFClassSubFam, factors_TFClassSubFam	Fos
