	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
0610007p14rik	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5
0610009o20rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
0610010f05rik	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5
0610012g03rik	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
0610040j01rik	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5
1110001j03rik	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0
1110007c09rik	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
1110034g24rik	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0
1110038b12rik	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
1110058l19rik	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007i07rik	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5
1500012f01rik	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0
1600012h06rik	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
1600014c10rik	0.5	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0	0	0
1700001l05rik	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
1700009p17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
1700034j05rik	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
