Regulator	Target	Weight
Atf3	0610007p14rik	0.5
Egr1	0610007p14rik	0.5
Fos	0610007p14rik	0.5
Irf1	0610007p14rik	0.5
Maz	0610007p14rik	0.5
Nfya	0610007p14rik	0.5
Zbtb7b	0610007p14rik	0.5
Fos	0610009o20rik	0.5
Nfya	0610009o20rik	0.5
Egr1	0610010f05rik	-0.5
Fos	0610010f05rik	-0.5
Irf1	0610010f05rik	-0.5
Klf4	0610010f05rik	-0.5
Zbtb7b	0610010f05rik	-0.5
Irf8	0610012g03rik	0.5
Irf7	0610040j01rik	0.5
Zbtb7b	0610040j01rik	0.5
Atf3	1110001j03rik	0.5
Egr1	1110001j03rik	0.5
Irf2	1110001j03rik	0.5
Maz	1110001j03rik	0.5
Fos	1110007c09rik	-0.5
Fosb	1110007c09rik	-0.5
Irf1	1110007c09rik	-0.5
Jun	1110007c09rik	-0.5
Jund	1110007c09rik	-0.5
Maz	1110007c09rik	-0.5
Myc	1110007c09rik	-0.5
Zbtb7b	1110007c09rik	-0.5
Egr1	1110034g24rik	0.5
Irf1	1110034g24rik	0.5
Maz	1110034g24rik	0.5
Egr1	1110038b12rik	0.5
Egr3	1110038b12rik	0.5
Fos	1110038b12rik	0.5
Maz	1110038b12rik	0.5
Atf3	1110058l19rik	0.5
Egr1	1110058l19rik	0.5
Atf3	1190007i07rik	0.5
Egr1	1190007i07rik	0.5
Egr3	1190007i07rik	0.5
Fos	1190007i07rik	0.5
Maz	1190007i07rik	0.5
Stat1	1190007i07rik	0.5
Zbtb7b	1190007i07rik	0.5
Egr1	1500012f01rik	0.5
Fos	1500012f01rik	0.5
Irf1	1500012f01rik	0.5
Irf2	1500012f01rik	0.5
Irf7	1500012f01rik	0.5
Irf8	1500012f01rik	0.5
Klf4	1500012f01rik	0.5
Nfya	1500012f01rik	0.5
Stat1	1500012f01rik	0.5
Stat2	1500012f01rik	0.5
Atf3	1600012h06rik	-0.5
Egr1	1600012h06rik	-0.5
Irf1	1600012h06rik	-0.5
Klf4	1600012h06rik	-0.5
Atf3	1600014c10rik	0.5
Egr1	1600014c10rik	0.5
Irf1	1600014c10rik	0.5
Irf7	1600014c10rik	0.5
Maz	1600014c10rik	0.5
Atf3	1700001l05rik	-0.5
Egr1	1700001l05rik	-0.5
Egr3	1700001l05rik	-0.5
Fos	1700001l05rik	-0.5
Irf1	1700001l05rik	-0.5
Klf4	1700001l05rik	-0.5
Myc	1700001l05rik	-0.5
Zbtb7b	1700001l05rik	-0.5
Zbtb7b	1700009p17rik	0.5
Irf1	1700034j05rik	-0.5
Atf3	1700037h04rik	0.5
Irf1	1700037h04rik	0.5
Klf4	1700037h04rik	0.5
Maz	1700037h04rik	0.5
Nfya	1700037h04rik	0.5
Atf3	1700056e22rik	0.5
Egr1	1700056e22rik	0.5
Irf1	1700056e22rik	0.5
Klf4	1700056e22rik	0.5
Nfya	1700056e22rik	0.5
Zbtb7b	1700056e22rik	0.5
Atf3	1810011h11rik	0.5
Egr1	1810026j23rik	-0.5
Irf1	1810026j23rik	-0.5
Jund	1810026j23rik	-0.5
Klf4	1810026j23rik	-0.5
Egr1	1810043g02rik	0.5
Fos	1810043g02rik	0.5
Irf1	1810043g02rik	0.5
Irf8	1810043g02rik	0.5
Klf4	1810043g02rik	0.5
Atf3	1810055g02rik	-0.5
Egr1	1810055g02rik	-0.5
