Regulator	Target	Weight
Zfp263	0610009o20rik	-0.5
Zfp281	0610009o20rik	-0.5
Bach1	1110007c09rik	1.0
Bcl3	1110007c09rik	0.5
Ets1	1110007c09rik	1.0
Fosl2	1110007c09rik	1.5
Nfkb1	1110007c09rik	0.5
Nfkb2	1110007c09rik	0.5
Prdm1	1110007c09rik	0.5
Zfp263	1110007c09rik	0.5
Zfp263	1110032f04rik	0.5
Stat3	1110034g24rik	-0.5
Zbtb7a	1110034g24rik	-0.5
Zfp263	1110034g24rik	-0.5
Zfp281	1110034g24rik	-0.5
Stat3	1110038b12rik	-0.5
Zfp263	1110038b12rik	-0.5
Zfp281	1110038b12rik	-0.5
Stat3	1190002n15rik	-0.5
Zbtb7a	1190002n15rik	-0.5
Zfp263	1190002n15rik	-0.5
Zfp281	1190002n15rik	-0.5
Mxi1	1300002k09rik	-0.5
Stat3	1300002k09rik	-0.5
Zfp263	1300002k09rik	-0.5
Zbtb7a	1500012f01rik	-0.5
Zfp263	1500012f01rik	-0.5
Zbtb7a	1600029i14rik	-0.5
Stat3	1700001l05rik	0.5
Zfp263	1700013h16rik	-0.5
Mxi1	1700023e05rik	-0.5
Bcl3	1700023f06rik	0.5
Prdm1	1700030j22rik	0.5
Stat3	1700030j22rik	0.5
Zfp263	1700030j22rik	0.5
Stat3	1700086o06rik	-0.5
Zbtb7a	1700086o06rik	-0.5
Zfp263	1700086o06rik	-0.5
Zfp281	1700086o06rik	-0.5
Zbtb7a	1700096k18rik	-0.5
Zfp263	1700096k18rik	-0.5
Zfp281	1700096k18rik	-0.5
Mxi1	1810011h11rik	-0.5
Zfp263	1810043g02rik	-0.5
Batf	2010107g12rik	1.0
Bcl3	2010107g12rik	0.5
Fosl2	2010107g12rik	0.5
Nfkb1	2010107g12rik	0.5
Nfkb2	2010107g12rik	0.5
Prdm1	2010107g12rik	0.5
Stat3	2010107g12rik	0.5
Zfp263	2010107g12rik	0.5
Bcl3	2010111i01rik	0.5
Fosl2	2010111i01rik	0.5
Prdm1	2010111i01rik	0.5
Stat3	2010111i01rik	0.5
Zfp263	2010111i01rik	0.5
Zfp263	2010300c02rik	0.5
Zfp263	2310022b05rik	0.5
Stat3	2610002j02rik	-0.5
Zfp263	2610002j02rik	-0.5
Zfp281	2610002j02rik	-0.5
Fosl2	2610035d17rik	0.5
Nfkb1	2610035d17rik	0.5
Prdm1	2610035d17rik	0.5
Stat3	2610035d17rik	0.5
Zfp263	2610035d17rik	0.5
Zbtb7a	2700094k13rik	-0.5
Zfp281	2700094k13rik	-0.5
Fosl2	2810442i21rik	0.5
Prdm1	2810442i21rik	0.5
Stat3	2810442i21rik	0.5
Zfp263	2810442i21rik	0.5
Nfkb1	2810474o19rik	0.5
