	Irf1	Nr2f2	Plag1	Prdm1	Rara	Sp3	Stat3	Tbp	Tcf7l2	Zbtb7a	Zfp263
0610009o20rik	0	0	0	0	0	0	0	-0.5	0	0	-0.5
0610040j01rik	0	0	0	0	0	0	-0.5	0	0	0	-0.5
1110006o24rik	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5
1110032f04rik	0	0	0	0	0	0	0	0	0	0.5	0.5
1110051m20rik	0	0	0	0	0	0	-0.5	0	0	0	-0.5
1300002k09rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
1500012f01rik	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
1600002k03rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
1600012h06rik	0.5	0	0	0	0	0.5	0	0	0	0	0.5
1600029i14rik	0	0	0	0	0	-0.5	0	0	0	0	0
1700020i14rik	0.5	0	0.5	0	0	0.5	0	0.5	0	0	0
1700025g04rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
1700029h14rik	0	0	0	0	0	0	0	0	0	0	0.5
1700034h15rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
1700052k11rik	0.5	0	0.5	0	0	0.5	0	0	0	0	0.5
1700061g19rik	0	0	0	0	0	0.5	0	0	0	0	0
1700086o06rik	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5
1700092m07rik	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
1700096k18rik	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
2010107g12rik	0.5	0	0.5	0.5	1.0	0.5	0.5	0.5	0	0	0.5
2010111i01rik	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5
2010300c02rik	-0.5	0	0	0	0	-0.5	0	0	0	0	-0.5
2210417a02rik	-0.5	0	0	0	0	-0.5	0	0	0	0	0
2310003h01rik	0.5	0	0	0	0	0.5	0	0.5	0	0	0
2310022a10rik	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0.5
2310022b05rik	0.5	0	0.5	0	0	0.5	0	0.5	0	0	0.5
2310057m21rik	0	0	0	0	0	0.5	0	0	0	0.5	0.5
2410004b18rik	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5
2410006h16rik	0	0	0	0	0	-0.5	0	-0.5	0	0	0
2610008e11rik	0	0	0	0	0	0	0	0	0	0.5	0
2610035d17rik	0.5	0	0.5	0.5	0	0	0.5	0.5	0.5	0	0.5
2700062c07rik	0	0	0	0	0	0	0	0	0	0	0.5
2810408a11rik	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	-0.5
2810442i21rik	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0.5
2810454h06rik	0	0	0	0	0	-0.5	-0.5	0	0	0	0
2810474o19rik	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0	0.5	0.5
2900005j15rik	0	0	0	0	0	0	0	0	0	0	-0.5
2900026a02rik	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
3000002c10rik	0	0	0	0	0	0	0	0	0	0	-0.5
3110002h16rik	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0.5
3110040n11rik	0	0	0	0	0	0	-0.5	0	0	0	0
3110043o21rik	0.5	0	0	0.5	0	0.5	0	0.5	0	0	0.5
4632428n05rik	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
4831440e17rik	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5
4930452b06rik	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5
4930481a15rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
4931406p16rik	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5
4932438a13rik	0.5	0	0	0.5	0	0.5	0	0.5	0.5	0.5	0
4933426m11rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
5031414d18rik	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0.5
5430405h02rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
5430417l22rik	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0
5430435g22rik	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5
6230400d17rik	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0.5
6330416g13rik	-0.5	0	0	0	0	0	-0.5	0	0	0	-0.5
6330549d23rik	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0	0.5
6430548m08rik	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5
8030462n17rik	0.5	0	0	0.5	0	0	0.5	0	0.5	0	0
8430419l09rik	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	-0.5
8430427h17rik	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0	0.5	0.5
9030617o03rik	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5
9130019o22rik	0.5	0	0	0	0	0	0.5	0.5	0	0	0
9330133o14rik	0	0	0	0	0	0	0	-0.5	0	0	-0.5
9330175e14rik	0.5	0	0	0.5	0	0	0.5	0	0	0	0.5
9430015g10rik	0	0	0	0	0	-0.5	0	0	0	0	0
9430076c15rik	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0
9530082p21rik	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
A430078g23rik	0	0	0	0	0	0	0	-0.5	0	0	-0.5
A630072m18rik	0	0	0.5	0.5	0	0.5	0	0	0	0.5	0.5
Aa467197	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Aa543186	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
Aa987161	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0
Aaas	0	0	0	0	0	0	0	-0.5	0	0	0
Aatf	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
Ab124611	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5
Abca1	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0.5
Abca2	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Abca3	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
Abca6	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Abcd1	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
Abcd2	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Abcg3	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0
Abhd13	0	0	0	0	0	0.5	0	0.5	0	0	0.5
Abhd15	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	-0.5
Abi3	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	-0.5
Abl1	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0
Abl2	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0	0.5
