Regulator	Target	Weight
Tbp	0610009o20rik	-0.5
Zfp263	0610009o20rik	-0.5
Stat3	0610040j01rik	-0.5
Zfp263	0610040j01rik	-0.5
Irf1	1110006o24rik	0.5
Plag1	1110006o24rik	0.5
Sp3	1110006o24rik	0.5
Stat3	1110006o24rik	0.5
Tbp	1110006o24rik	0.5
Zbtb7a	1110006o24rik	0.5
Zfp263	1110006o24rik	0.5
Zbtb7a	1110032f04rik	0.5
Zfp263	1110032f04rik	0.5
Stat3	1110051m20rik	-0.5
Zfp263	1110051m20rik	-0.5
Irf1	1300002k09rik	-0.5
Sp3	1300002k09rik	-0.5
Stat3	1300002k09rik	-0.5
Tbp	1300002k09rik	-0.5
Zfp263	1300002k09rik	-0.5
Irf1	1500012f01rik	-0.5
Sp3	1500012f01rik	-0.5
Tbp	1500012f01rik	-0.5
Zfp263	1500012f01rik	-0.5
Irf1	1600002k03rik	-0.5
Sp3	1600002k03rik	-0.5
Stat3	1600002k03rik	-0.5
Tbp	1600002k03rik	-0.5
Zfp263	1600002k03rik	-0.5
Irf1	1600012h06rik	0.5
Sp3	1600012h06rik	0.5
Zfp263	1600012h06rik	0.5
Sp3	1600029i14rik	-0.5
Irf1	1700020i14rik	0.5
Plag1	1700020i14rik	0.5
Sp3	1700020i14rik	0.5
Tbp	1700020i14rik	0.5
Irf1	1700025g04rik	-0.5
Sp3	1700025g04rik	-0.5
Stat3	1700025g04rik	-0.5
Tbp	1700025g04rik	-0.5
Zfp263	1700025g04rik	-0.5
Zfp263	1700029h14rik	0.5
Irf1	1700034h15rik	-0.5
Sp3	1700034h15rik	-0.5
Stat3	1700034h15rik	-0.5
Tbp	1700034h15rik	-0.5
Irf1	1700052k11rik	0.5
Plag1	1700052k11rik	0.5
Sp3	1700052k11rik	0.5
Zfp263	1700052k11rik	0.5
Sp3	1700061g19rik	0.5
Stat3	1700086o06rik	-0.5
Tbp	1700086o06rik	-0.5
Zfp263	1700086o06rik	-0.5
Irf1	1700092m07rik	-0.5
Sp3	1700092m07rik	-0.5
Tbp	1700092m07rik	-0.5
Zfp263	1700092m07rik	-0.5
Irf1	1700096k18rik	-0.5
Sp3	1700096k18rik	-0.5
Tbp	1700096k18rik	-0.5
Zfp263	1700096k18rik	-0.5
Irf1	2010107g12rik	0.5
Plag1	2010107g12rik	0.5
Prdm1	2010107g12rik	0.5
Rara	2010107g12rik	1.0
Sp3	2010107g12rik	0.5
Stat3	2010107g12rik	0.5
Tbp	2010107g12rik	0.5
Zfp263	2010107g12rik	0.5
Irf1	2010111i01rik	0.5
Prdm1	2010111i01rik	0.5
Sp3	2010111i01rik	0.5
Stat3	2010111i01rik	0.5
Tbp	2010111i01rik	0.5
Tcf7l2	2010111i01rik	0.5
Zbtb7a	2010111i01rik	0.5
Zfp263	2010111i01rik	0.5
Irf1	2010300c02rik	-0.5
Sp3	2010300c02rik	-0.5
Zfp263	2010300c02rik	-0.5
Irf1	2210417a02rik	-0.5
Sp3	2210417a02rik	-0.5
Irf1	2310003h01rik	0.5
Sp3	2310003h01rik	0.5
Tbp	2310003h01rik	0.5
Irf1	2310022a10rik	0.5
Sp3	2310022a10rik	0.5
Stat3	2310022a10rik	0.5
Tbp	2310022a10rik	0.5
Zfp263	2310022a10rik	0.5
Irf1	2310022b05rik	0.5
Plag1	2310022b05rik	0.5
Sp3	2310022b05rik	0.5
Tbp	2310022b05rik	0.5
Zfp263	2310022b05rik	0.5
Sp3	2310057m21rik	0.5
Zbtb7a	2310057m21rik	0.5
Zfp263	2310057m21rik	0.5
Irf1	2410004b18rik	0.5
Stat3	2410004b18rik	0.5
Zbtb7a	2410004b18rik	0.5
