Regulator	Target	Weight
Ebf1	0610038b21rik	0.5
Fosl2	0610038b21rik	0.5
Stat3	0610038b21rik	0.5
Bcl3	1110007c09rik	0.5
Ebf1	1110007c09rik	0.5
Fosl2	1110007c09rik	1.5
Klf12	1110007c09rik	0.5
Klf5	1110007c09rik	0.5
Nfe2l2	1110007c09rik	0.5
Nfkb1	1110007c09rik	0.5
Prdm1	1110007c09rik	0.5
Rela	1110007c09rik	0.5
Rest	1110007c09rik	0.5
Zbtb7a	1110007c09rik	0.5
Zfp281	1110007c09rik	0.5
E2f3	1110032f04rik	0.5
Hey1	1110032f04rik	0.5
Zbtb33	1110032f04rik	0.5
Zbtb7a	1110032f04rik	0.5
E2f3	1600012h06rik	0.5
Ebf1	1600012h06rik	0.5
Nfe2l2	1600012h06rik	0.5
Rela	1600012h06rik	0.5
Rest	1600012h06rik	0.5
Zbtb33	1600012h06rik	0.5
E2f3	1700001l05rik	0.5
Hey1	1700001l05rik	0.5
Klf12	1700001l05rik	0.5
Klf5	1700001l05rik	0.5
Rest	1700001l05rik	0.5
Stat3	1700001l05rik	0.5
Bcl3	1700023f06rik	0.5
Ebf1	1700023f06rik	0.5
Rest	1700023f06rik	0.5
Klf12	1700030j22rik	0.5
Klf5	1700030j22rik	0.5
Prdm1	1700030j22rik	0.5
Stat3	1700030j22rik	0.5
Zfp281	1700030j22rik	0.5
Fosl2	1700102p08rik	0.5
Prdm1	1700102p08rik	0.5
Fosl2	1810013l24rik	0.5
Hey1	1810013l24rik	0.5
Klf12	1810013l24rik	0.5
Klf5	1810013l24rik	0.5
Prdm1	1810013l24rik	0.5
Rela	1810013l24rik	0.5
Rest	1810013l24rik	0.5
Stat3	1810013l24rik	0.5
Zbtb7a	1810013l24rik	0.5
Zfp281	1810013l24rik	0.5
Ebf1	2010012o05rik	0.5
Rela	2010012o05rik	0.5
Batf	2010107g12rik	1.0
Bcl3	2010107g12rik	0.5
Fosl2	2010107g12rik	0.5
Klf12	2010107g12rik	0.5
Nfkb1	2010107g12rik	0.5
Prdm1	2010107g12rik	0.5
Rarg	2010107g12rik	1.0
Rel	2010107g12rik	0.5
Rela	2010107g12rik	0.5
Relb	2010107g12rik	0.5
Rest	2010107g12rik	0.5
Stat3	2010107g12rik	0.5
Zbtb33	2010107g12rik	0.5
Zeb1	2010107g12rik	0.5
Zfp281	2010107g12rik	0.5
Bcl3	2010111i01rik	0.5
Ebf1	2010111i01rik	0.5
Fosl2	2010111i01rik	1.5
Hey1	2010111i01rik	0.5
Klf5	2010111i01rik	0.5
Mtf1	2010111i01rik	0.5
Nfe2l2	2010111i01rik	0.5
Prdm1	2010111i01rik	1.5
Rest	2010111i01rik	0.5
Stat3	2010111i01rik	0.5
Tcf7l2	2010111i01rik	1.0
Zbtb33	2010111i01rik	0.5
Zbtb7a	2010111i01rik	0.5
Zfp281	2010111i01rik	0.5
Hey1	2310022b05rik	0.5
Klf5	2310022b05rik	0.5
Rest	2310022b05rik	0.5
Zeb1	2310022b05rik	0.5
Zfp281	2310022b05rik	0.5
E2f3	2310057m21rik	0.5
Ebf1	2310057m21rik	0.5
Hey1	2310057m21rik	0.5
Rest	2310057m21rik	0.5
Zbtb33	2310057m21rik	0.5
Zbtb7a	2310057m21rik	0.5
Nfe2l2	2410004b18rik	0.5
Rela	2410004b18rik	0.5
Stat3	2410004b18rik	0.5
Zbtb7a	2410004b18rik	0.5
Bcl3	2810408m09rik	0.5
Hey1	2810408m09rik	0.5
Nfkb1	2810408m09rik	0.5
Rel	2810408m09rik	0.5
