	Atf3	Bcl11a	Dnmt1	E2f4	E2f6	Egr1	Egr3	Egr4	Elf4	Fos	Hic1	Ikzf1	Irf2	Jun	Klf12	Klf4	Maz	Mef2c	Myc	Nr2c2	Nrf1	Patz1	Pax5	Runx1	Runx2	Rxrb	Stat1	Stat2	Tet1	Zbtb14
0610007p14rik	0.5	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0
0610009b22rik	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
0610009o20rik	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010k14rik	0.5	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
0610039k10rik	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0
0610040j01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
1110007c09rik	0	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0
1110008l16rik	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0
1110032f04rik	0	0	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
1110051m20rik	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0.5	0	0	1.5	0	0	1.0	0	0	0	0
1110059e24rik	0.5	1.0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0.5	0	0.5	1.0	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0	0
1200014j11rik	0	1.0	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	1.5	0	0	0	0	0	0	0
1300002k09rik	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0
1500004a13rik	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500012f01rik	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0.5
1500015a07rik	0	0	0	0.5	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0.5
1600002h07rik	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0
1600012h06rik	-0.5	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0
