Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Jdp2	Adam23	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Alcam	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Angel1	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Arhgap26	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Bcr	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Cd80	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Cflar	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Dab2	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Flrt3	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
Jdp2	Gpr132	1	GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up_GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 1.53088097754e-09, 0.538638249783, 0.554855633575, 0.554855633575, 0.746341427373, 0.746341427373, 0.79475825067, 0.79475825067	M0295_1.01_mm9, M0296_1.01_mm9, M5857_1.01_mm9, M5858_1.01_mm9, E10865_hg19, E10866_hg19, E10867_hg19, E10868_hg19, E10869_hg19, E10870_hg19, E10871_hg19, M5406_1.01_hg19, M5407_1.01_hg19, M5408_1.01_hg19, M5409_1.01_hg19, ATF-3-like_TFClassSubFam, factors_TFClassSubFam	Jdp2
