Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Hey1	Bahd1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Hey1	Casz1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Hey1	Fry	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Hey1	Hivep3	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Hey1	Micall1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Hey1	Mllt4	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	8.68116774373e-05	M5328_1.01_mm9, E10643_hg19, E10644_hg19, E10645_hg19, M5328_1.01_hg19, Hairy-like_TFClassSubFam, factors_TFClassSubFam	Hey1
Zfp263	Actn1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Apbb2	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Bahd1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Casz1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Hivep3	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Lrrc1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Micall1	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Runx3	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Tbc1d4	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
Zfp263	Tnfrsf1b	1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000497404892825, 0.170583057167, 0.317406026645, 0.704167289237	M0366_1.01_mm9, E12008_hg19, M2194_1.01_hg19, M4474_1.01_hg19, M4536_1.01_hg19, unclassified_TFClassSubFam	Zfp263
