Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Nrf1	4931406C07Rik	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000360118087473, 0.00508433426912, 0.00927007975986, 0.0100884412693, 0.728244536634	E11213_hg19, E11214_hg19, E11215_hg19, E11216_hg19, E11217_hg19, M2175_1.01_hg19, NRF_TFClassSubFam	Nrf1
Nrf1	Cntln	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000360118087473, 0.00508433426912, 0.00927007975986, 0.0100884412693, 0.728244536634	E11213_hg19, E11214_hg19, E11215_hg19, E11216_hg19, E11217_hg19, M2175_1.01_hg19, NRF_TFClassSubFam	Nrf1
Nrf1	Lss	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000360118087473, 0.00508433426912, 0.00927007975986, 0.0100884412693, 0.728244536634	E11213_hg19, E11214_hg19, E11215_hg19, E11216_hg19, E11217_hg19, M2175_1.01_hg19, NRF_TFClassSubFam	Nrf1
Nrf1	Spc24	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.000360118087473, 0.00508433426912, 0.00927007975986, 0.0100884412693, 0.728244536634	E11213_hg19, E11214_hg19, E11215_hg19, E11216_hg19, E11217_hg19, M2175_1.01_hg19, NRF_TFClassSubFam	Nrf1
Rela	Abhd12	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Camk2a	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Cbfa2t3	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Ephb6	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Gbp8	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
Rela	Limk1	-1	GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up_GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	0.00059489203073, 0.0610215291657, 0.0635231549936, 0.136685851437, 0.136685851437, 0.202280448267, 0.211685033919, 0.214130854425, 0.223239065286, 0.22692683802, 0.227454060799, 0.247900737144, 0.249844374892, 0.535544818755, 0.590783345321	M5956_1.01_mm9, M5957_1.01_mm9, E11451_hg19, M1800_1.01_hg19, M3493_1.01_hg19, M4314_1.01_hg19, M4338_1.01_hg19, M4355_1.01_hg19, M4361_1.01_hg19, M4364_1.01_hg19, M4365_1.01_hg19, M4366_1.01_hg19, M4367_1.01_hg19, M4368_1.01_hg19, M4369_1.01_hg19, M6330_1.01_hg19, NF-kappaB_TFClassSubFam, p65_TFClassSubFam, subunit-like_TFClassSubFam, factors_TFClassSubFam	Rela
