Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf4	1190002N15Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1300002K09Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1500012F01Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1700023E05Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1700096K18Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1810043G02Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2610002J02Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2700029M09Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2900026A02Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4632428N05Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4833418N02Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4930539J05Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4931406C07Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4933426M11Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	8430419L09Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	9030624J02Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	9330133O14Rik	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	AI467606	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	AI846148	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	AW011738	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abcb8	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abcd1	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abhd14b	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abl1	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acaa2	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acadl	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acer3	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Aco1	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acot8	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Actn1	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Agfg2	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Agpat5	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Ahcy	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Akr1b10	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Aldh18a1	.5	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	2.57181226526e-06, 6.5400470779e-06, 0.00381609794587, 0.00381609794587	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
