Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Irf7	Cd86	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Ehd2	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Entpd1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Galnt7	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Pcgf5	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Ptprb	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf7	Rassf3	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	9.69882274493e-09, 6.2737004742e-05, 6.2737004742e-05, 0.133831200599, 0.202900089312, 0.202900089312	M1169_1.01_mm9, E10840_hg19, E10841_hg19, E10842_hg19, M3350_1.01_hg19, M5395_1.01_hg19, M5396_1.01_hg19, M6131_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf7
Irf8	Cd86	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000167996446181, 0.000167996446181, 0.0069845666881, 0.0069845666881, 0.0134875095368, 0.0154498244065	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Entpd1	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000167996446181, 0.000167996446181, 0.0069845666881, 0.0069845666881, 0.0134875095368, 0.0154498244065	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
Irf8	Galnt7	-1	GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down_GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	0.000167996446181, 0.000167996446181, 0.0069845666881, 0.0069845666881, 0.0134875095368, 0.0154498244065	E10843_hg19, E10844_hg19, E10845_hg19, M5397_1.01_hg19, M5398_1.01_hg19, M6132_1.01_hg19, Interferon-regulatory_TFClassSubFam, factors_TFClassSubFam	Irf8
