Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Klf4	1600012H06Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1700001L05Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1700030J22Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1700094D03Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	1810013L24Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2010111I01Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2200002D01Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	2310011J03Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	3110002H16Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4930581F22Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4931406P16Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	4932438A13Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	6430571L13Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	8430427H17Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	9430008C03Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	9430020K01Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	A830080D01Rik	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	AI846148	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abca1	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abca5	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abcb1a	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abcb1b	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Abhd13	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acbd3	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acer2	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acpt	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acsbg1	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Actn1	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Actn4	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Actr1a	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
Klf4	Acvr2a	-.5	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up	0.0, 0.0, 0.0, 0.0	M1741_1.01_mm9, M5946_1.01_mm9, E10881_hg19, M6143_1.01_hg19, Kruumlppel-like_TFClassSubFam, factors_TFClassSubFam	Klf4
