Regulator	Target	Weight
Nfyc	0610009o20rik	-0.5
Rest	0610009o20rik	-0.5
Zfp281	0610009o20rik	-0.5
Creb1	0610040b10rik	-0.5
Elk1	0610040b10rik	-0.5
Elk3	0610040b10rik	-0.5
Elf2	0610040j01rik	-0.5
Stat3	0610040j01rik	-0.5
Elf2	1110004e09rik	-0.5
Stat3	1110004e09rik	-0.5
Zbtb7a	1110038f14rik	0.5
Elk3	1110058l19rik	-0.5
Nrf1	1110058l19rik	-0.5
Creb1	1190007i07rik	-0.5
Nrf1	1190007i07rik	-0.5
Plagl1	1190007i07rik	-0.5
Rest	1190007i07rik	-0.5
Stat3	1190007i07rik	-0.5
Zfp281	1190007i07rik	-0.5
Klf12	1300002k09rik	-0.5
Klf8	1300002k09rik	-0.5
Mtf1	1300002k09rik	-0.5
Rest	1300002k09rik	-0.5
Stat3	1300002k09rik	-0.5
Elk1	1500012f01rik	-0.5
Klf12	1500012f01rik	-0.5
Klf8	1500012f01rik	-0.5
Nrf1	1500012f01rik	-0.5
Rest	1500012f01rik	-0.5
Zbtb7a	1500012f01rik	-0.5
Elf2	1500015a07rik	-0.5
Elk1	1500015a07rik	-0.5
Elk3	1500015a07rik	-0.5
Klf12	1500015a07rik	-0.5
Nrf1	1500015a07rik	-0.5
Rest	1500015a07rik	-0.5
E2f3	1600012h06rik	0.5
Ebf1	1600012h06rik	0.5
Nrf1	1600012h06rik	0.5
Rest	1600012h06rik	0.5
Zfp263	1600012h06rik	0.5
Elk1	1600014c10rik	-0.5
Nrf1	1600014c10rik	-0.5
Zbtb7a	1600014c10rik	-0.5
Zfp281	1600014c10rik	-0.5
Nrf1	1600029i14rik	0.5
Rest	1600029i14rik	0.5
Zbtb7a	1600029i14rik	0.5
E2f3	1700001l05rik	0.5
Klf12	1700001l05rik	0.5
Klf8	1700001l05rik	0.5
Nrf1	1700001l05rik	0.5
Rest	1700001l05rik	0.5
Stat3	1700001l05rik	0.5
Nrf1	1700008o03rik	0.5
Rest	1700008o03rik	0.5
Stat3	1700008o03rik	0.5
Zfp281	1700008o03rik	0.5
Elk1	1700009p17rik	-0.5
Elk3	1700009p17rik	-0.5
Stat3	1700009p17rik	-0.5
Zfp281	1700009p17rik	-0.5
E2f3	1700021k19rik	-0.5
Elf2	1700021k19rik	-0.5
Elk1	1700021k19rik	-0.5
Elk3	1700021k19rik	-0.5
Mtf1	1700021k19rik	-0.5
Nrf1	1700021k19rik	-0.5
Rest	1700021k19rik	-0.5
Stat3	1700021k19rik	-0.5
Zfp281	1700021k19rik	-0.5
Creb1	1700029j07rik	-0.5
Elf2	1700029j07rik	-0.5
Rest	1700029j07rik	-0.5
Klf12	1700030j22rik	0.5
Klf8	1700030j22rik	0.5
Stat3	1700030j22rik	0.5
Zfp263	1700030j22rik	0.5
Zfp281	1700030j22rik	0.5
Bcl3	1700086o06rik	-0.5
Nfyc	1700086o06rik	-0.5
Plagl1	1700086o06rik	-0.5
Rest	1700086o06rik	-0.5
Stat3	1700086o06rik	-0.5
Zbtb7a	1700086o06rik	-0.5
Zfp281	1700086o06rik	-0.5
Klf8	1700094d03rik	0.5
Stat3	1700094d03rik	0.5
Zfp281	1700094d03rik	0.5
Elk1	1810011h11rik	-0.5
Klf12	1810013l24rik	0.5
Klf8	1810013l24rik	0.5
Nrf1	1810013l24rik	0.5
Rest	1810013l24rik	0.5
Stat3	1810013l24rik	0.5
Zbtb7a	1810013l24rik	0.5
Zfp263	1810013l24rik	0.5
Zfp281	1810013l24rik	0.5
Zbtb7a	1810014b01rik	-0.5
Elf2	1810043g02rik	-0.5
Klf8	1810043g02rik	-0.5
Rest	1810043g02rik	-0.5
Stat3	1810043h04rik	-0.5
Ebf1	2010111i01rik	0.5
Klf8	2010111i01rik	0.5
Nrf1	2010111i01rik	0.5
Rest	2010111i01rik	0.5
Stat3	2010111i01rik	0.5
Zbtb7a	2010111i01rik	0.5
Zfp263	2010111i01rik	0.5
Zfp281	2010111i01rik	0.5
Klf12	2010300c02rik	-0.5
Klf8	2010300c02rik	-0.5
Klf12	2200002d01rik	0.5
Klf8	2200002d01rik	0.5
Stat3	2200002d01rik	0.5
Zbtb7a	2200002d01rik	0.5
Elf2	2210016f16rik	-0.5
Elk1	2210016f16rik	-0.5
Elk3	2210016f16rik	-0.5
E2f3	2310011j03rik	0.5
Ebf1	2310011j03rik	0.5
Klf12	2310011j03rik	0.5
Klf8	2310011j03rik	0.5
Nrf1	2310011j03rik	0.5
Rest	2310011j03rik	0.5
Zbtb7a	2310011j03rik	0.5
Zfp263	2310011j03rik	0.5
Zfp281	2310011j03rik	0.5
E2f3	2310033p09rik	0.5
Klf12	2310033p09rik	0.5
Klf8	2310033p09rik	0.5
Nrf1	2310033p09rik	0.5
Rest	2310033p09rik	0.5
Stat3	2310033p09rik	0.5
Zbtb7a	2310033p09rik	0.5
Zfp263	2310033p09rik	0.5
Zfp281	2310033p09rik	0.5
Stat3	2410004b18rik	0.5
Zbtb7a	2410004b18rik	0.5
Zfp263	2410004b18rik	0.5
Klf12	2410004p03rik	-0.5
Klf8	2410004p03rik	-0.5
Mtf1	2410004p03rik	-0.5
Nrf1	2410004p03rik	-0.5
Klf12	2410006h16rik	-0.5
Zbtb7a	2410006h16rik	-0.5
Elf2	2410015m20rik	-0.5
Elk1	2410015m20rik	-0.5
Elk3	2410015m20rik	-0.5
Nrf1	2410015m20rik	-0.5
Rest	2410015m20rik	-0.5
