Regulator	Target	Weight
E2f3	0610007p14rik	-0.5
Elf2	0610007p14rik	-0.5
Ets1	0610007p14rik	-0.5
Hey1	0610007p14rik	-0.5
Stat3	0610007p14rik	-0.5
Zfp263	0610007p14rik	-0.5
Zfp263	0610009o20rik	-0.5
Hey1	0610010f05rik	0.5
Klf8	0610010f05rik	0.5
Stat3	0610010f05rik	0.5
Plagl1	0610012g03rik	-0.5
Elf2	0610040j01rik	-0.5
Stat3	0610040j01rik	-0.5
Zfp263	0610040j01rik	-0.5
Ets1	1110001j03rik	-0.5
Hey1	1110001j03rik	-0.5
Stat3	1110001j03rik	-0.5
Zbtb7a	1110001j03rik	-0.5
Zfp263	1110001j03rik	-0.5
Zfp523	1110001j03rik	-0.5
Bach1	1110007c09rik	0.5
Fosl1	1110007c09rik	0.5
Klf8	1110007c09rik	0.5
Prdm1	1110007c09rik	0.5
Zbtb7a	1110007c09rik	0.5
Zfp263	1110007c09rik	0.5
Ar	1110034g24rik	-0.5
Elf2	1110034g24rik	-0.5
Ets1	1110034g24rik	-0.5
Stat3	1110034g24rik	-0.5
Zbtb7a	1110034g24rik	-0.5
Zfp263	1110034g24rik	-0.5
Zfp523	1110034g24rik	-0.5
Stat3	1110038b12rik	-0.5
Zfp263	1110038b12rik	-0.5
Hey1	1190007i07rik	-0.5
Plagl1	1190007i07rik	-0.5
Stat3	1190007i07rik	-0.5
Zfp263	1190007i07rik	-0.5
Ets1	1500012f01rik	-0.5
Klf8	1500012f01rik	-0.5
Zbtb7a	1500012f01rik	-0.5
Zfp263	1500012f01rik	-0.5
E2f3	1600012h06rik	0.5
Zfp263	1600012h06rik	0.5
Ets1	1600014c10rik	-0.5
Hey1	1600014c10rik	-0.5
Zbtb7a	1600014c10rik	-0.5
E2f3	1700001l05rik	0.5
Hey1	1700001l05rik	0.5
Klf8	1700001l05rik	0.5
Stat3	1700001l05rik	0.5
Ets1	1700009p17rik	-0.5
Stat3	1700009p17rik	-0.5
Zfp263	1700009p17rik	-0.5
Klf8	1700037h04rik	-0.5
Plagl1	1700037h04rik	-0.5
Zfp263	1700037h04rik	-0.5
Hey1	1700056e22rik	-0.5
Klf8	1700056e22rik	-0.5
Zfp263	1700056e22rik	-0.5
Ets1	1810011h11rik	-0.5
Stat3	1810026j23rik	0.5
Elf2	1810043g02rik	-0.5
Ets1	1810043g02rik	-0.5
Klf8	1810043g02rik	-0.5
Zfp263	1810043g02rik	-0.5
Klf8	1810055g02rik	0.5
Bach1	2010107g12rik	0.5
Fosl1	2010107g12rik	0.5
Prdm1	2010107g12rik	0.5
Stat3	2010107g12rik	0.5
Zfp263	2010107g12rik	0.5
Bach1	2010111i01rik	0.5
Fosl1	2010111i01rik	0.5
Hey1	2010111i01rik	0.5
Klf8	2010111i01rik	0.5
Prdm1	2010111i01rik	0.5
Stat3	2010111i01rik	0.5
Zbtb7a	2010111i01rik	0.5
Zfp263	2010111i01rik	0.5
Hey1	2010300c02rik	-0.5
Klf8	2010300c02rik	-0.5
Zfp263	2010300c02rik	-0.5
Stat3	2310014l17rik	0.5
Zfp263	2310014l17rik	0.5
Hey1	2310022a10rik	0.5
Klf8	2310022a10rik	0.5
Stat3	2310022a10rik	0.5
Zfp263	2310022a10rik	0.5
Ets1	2310045n01rik	-0.5
Klf8	2310045n01rik	-0.5
Ets1	2410006h16rik	-0.5
Zbtb7a	2410006h16rik	-0.5
Ets1	2610002j02rik	-0.5
Stat3	2610002j02rik	-0.5
Zfp263	2610002j02rik	-0.5
Ar	2610015p09rik	-0.5
Elf2	2610015p09rik	-0.5
Ets1	2610015p09rik	-0.5
Stat3	2610015p09rik	-0.5
Zbtb7a	2610015p09rik	-0.5
Zfp263	2610015p09rik	-0.5
Zfp523	2610015p09rik	-0.5
Hey1	2700060e02rik	-0.5
Klf8	2700060e02rik	-0.5
Zbtb7a	2700060e02rik	-0.5
Ets1	2700094k13rik	-0.5
Zbtb7a	2700094k13rik	-0.5
Zbtb7a	2810004n23rik	-0.5
Zfp263	2810004n23rik	-0.5
Elf2	2810006k23rik	-0.5
Ets1	2810006k23rik	-0.5
Klf8	2810006k23rik	-0.5
Stat3	2810006k23rik	-0.5
Zbtb7a	2810006k23rik	-0.5
Zfp263	2810006k23rik	-0.5
Elf2	2810417h13rik	-0.5
Ets1	2810417h13rik	-0.5
Stat3	2810417h13rik	-0.5
Zfp263	2810417h13rik	-0.5
Fosl1	2810442i21rik	0.5
Klf8	2810442i21rik	0.5
Prdm1	2810442i21rik	0.5
Stat3	2810442i21rik	0.5
Zfp263	2810442i21rik	0.5
Klf8	2900026a02rik	-0.5
Zbtb7a	2900026a02rik	-0.5
Zfp263	2900026a02rik	-0.5
Bach1	3110002h16rik	0.5
Fosl1	3110002h16rik	0.5
Hey1	3110002h16rik	0.5
Klf8	3110002h16rik	0.5
Prdm1	3110002h16rik	0.5
Stat3	3110002h16rik	0.5
Zbtb7a	3110002h16rik	0.5
Zfp263	3110002h16rik	0.5
E2f3	4632434i11rik	0.5
Zbtb7a	4632434i11rik	0.5
Zfp263	4632434i11rik	0.5
E2f3	4833418n02rik	-0.5
Ets1	4833418n02rik	-0.5
Klf8	4833418n02rik	-0.5
Zfp263	4833418n02rik	-0.5
E2f3	4930404n11rik	0.5
Fosl1	4930404n11rik	0.5
Hey1	4930404n11rik	0.5
Prdm1	4930404n11rik	0.5
Stat3	4930404n11rik	0.5
Zfp263	4930404n11rik	0.5
Ar	4930427a07rik	-0.5
Elf2	4930427a07rik	-0.5
Ets1	4930427a07rik	-0.5
Klf8	4930427a07rik	-0.5
Stat3	4930427a07rik	-0.5
Zbtb7a	4930427a07rik	-0.5
Zfp263	4930427a07rik	-0.5
Ets1	4930430f08rik	-0.5
Hey1	4930430f08rik	-0.5
Stat3	4930430f08rik	-0.5
Zfp523	4930430f08rik	-0.5
Elf2	4931406c07rik	-0.5
Ets1	4931406c07rik	-0.5
Hey1	4931406c07rik	-0.5
Klf8	4931406c07rik	-0.5
Zfp263	4931406c07rik	-0.5
Bach1	4931406h21rik	0.5
Fosl1	4931406h21rik	0.5
Prdm1	4931406h21rik	0.5
Stat3	4931406h21rik	0.5
Hey1	4932438a13rik	0.5
Klf8	4932438a13rik	0.5
Prdm1	4932438a13rik	0.5
Zbtb7a	4932438a13rik	0.5
E2f3	4933411k20rik	-0.5
Hey1	4933411k20rik	-0.5
Stat3	4933411k20rik	-0.5
Zfp263	4933411k20rik	-0.5
Ar	5031425f14rik	-0.5
Elf2	5031425f14rik	-0.5
Ets1	5031425f14rik	-0.5
Elf2	5033406o09rik	-0.5
Zfp263	5033406o09rik	-0.5
E2f3	5430416n02rik	-0.5
Elf2	5430416n02rik	-0.5
Ets1	5430416n02rik	-0.5
Hey1	5430416n02rik	-0.5
Klf8	5430416n02rik	-0.5
Zfp263	5430416n02rik	-0.5
Ar	5430427o19rik	-0.5
Ets1	5430427o19rik	-0.5
Stat3	5430427o19rik	-0.5
Zfp263	5430427o19rik	-0.5
E2f3	5730508b09rik	-0.5
Ets1	5730508b09rik	-0.5
Hey1	5730508b09rik	-0.5
Klf8	5730508b09rik	-0.5
Stat3	5730508b09rik	-0.5
Zbtb7a	5730508b09rik	-0.5
Zfp263	5730508b09rik	-0.5
Zbtb7a	6330403a02rik	0.5
E2f3	6330416g13rik	-0.5
Elf2	6330416g13rik	-0.5
Ets1	6330416g13rik	-0.5
