		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		53	70	51	41	105	90	109	90	98	82	82	85
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_down	62	16	13	12	20	22	25	31	27	7	13	16	11
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_up	103	23	48	10	51	18	50	31	57	29	31	16	33
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_down	41	12	11	13	12	4	11	13	16	7	14	10	11
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_up	57	8	30	7	18	17	43	17	43	8	31	2	19
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_down	114	21	23	25	33	48	23	46	34	22	29	18	17
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up	170	19	51	8	54	21	65	27	75	26	52	33	52
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down	246	30	33	42	58	51	62	50	65	57	48	56	38
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_up	147	19	49	44	65	57	80	48	70	49	41	52	50
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down	93	5	20	3	25	11	22	12	24	4	11	8	14
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up	55	2	13	11	26	16	25	5	33	5	26	4	21
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_down	6	1	6	5	9	1	8	4	6	0	9	2	6
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up	23	9	7	4	5	21	14	5	26	7	7	5	16
Macrophages_v_Monocytes_FC1_FDR10_down	96	57	68	54	63	58	73	64	76	64	74	61	81
Macrophages_v_Monocytes_FC1_FDR10_up	318	38	72	43	91	54	99	86	116	51	89	72	79
