Total genes and peaks mapped to +/-locbp of gene genesets of various gene sets

	Total peaks mapped to various ATACseq peak sets

	Total peaks mapped to the intersection of ATACseq-based and gene-based sets

		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
	totGenes	1405	1814	1211	2065	2459	2820	2455	3226	1832	1868	2065	2274
	totPeaks	15191	17775	12804	22712	22895	28446	23686	30813	17868	19511	19170	19646
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_down	211	39	16	30	23	49	28	54	34	39	30	37	19
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_up	485	32	99	29	141	55	161	49	174	50	100	54	92
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_down	100	11	16	7	22	20	23	15	27	10	21	13	19
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_up	198	6	31	5	56	27	44	11	41	7	28	12	20
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_down	544	78	74	63	92	120	93	124	86	72	79	80	75
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up	1365	57	256	50	322	88	391	72	440	82	286	114	247
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down	1612	197	178	161	265	290	269	277	297	215	210	214	206
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_up	919	60	167	80	188	109	265	120	249	86	156	101	152
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down	477	57	59	38	86	81	80	62	101	71	57	53	51
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up	202	11	35	11	53	25	57	24	52	9	51	16	33
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_down	88	8	14	5	25	3	24	4	19	2	17	8	17
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up	953	62	76	51	108	93	99	96	121	69	83	70	89
Macrophages_v_Monocytes_FC1_FDR10_down	3550	311	482	238	655	526	749	539	812	408	559	415	533
Macrophages_v_Monocytes_FC1_FDR10_up	17262	1681	1979	1457	2651	2295	3195	2529	3531	1931	2046	2139	1881
