Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_down	NA	1.60776754243e-07	0.0356292891069	2.13561131213e-06	0.0708278765442	0.276219604814	0.00697800997181	0.0	0.00299606632131	0.254630564825	0.05012261097	0.0	0.0
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_up	NA	1.49147436734e-07	0.00037630751298	3.07934988619e-09	0.126658083841	1.9546739799e-06	0.00566411492962	0.0	2.68189919828e-07	0.100937860147	0.0904440117016	0.0	0.0
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_down	NA	1.2146839965e-06	0.00262195443003	7.90021433339e-06	0.0918718464479	0.345626123542	1.20289814647e-05	0.0	0.000306478152327	0.00667746801224	0.0652331569462	7.19811987793e-11	0.0
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_up	NA	2.86028103946e-06	9.60605123341e-05	6.13436335062e-09	0.135972777809	3.21098557565e-06	0.0417945284746	0.0	1.01165531508e-09	0.00266422963032	0.0972455123063	0.0	0.0
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_down	NA	0.013722549063	0.0165795492846	0.00493394251247	0.0017040063958	0.00747680335414	0.00899952426432	0.0224366116847	0.0222697329831	0.00679931772625	0.00119309727223	0.0688991022178	0.0348749027594
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_up	NA	0.00275951147122	0.00333789424229	0.00098867451649	0.000341010877207	0.00149975053077	0.00180629611284	0.00452783669556	0.00449385438527	0.00136348403127	0.000238717232224	0.0141751244275	0.00707388736745
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_down	NA	0.013722549063	0.0165795492846	0.00493394251247	0.0017040063958	0.00747680335414	0.00899952426432	0.0224366116847	0.0222697329831	0.00679931772625	0.00119309727223	0.0688991022178	0.0348749027594
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_up	NA	0.00275951147122	0.00333789424229	0.00098867451649	0.000341010877207	0.00149975053077	0.00180629611284	0.00452783669556	0.00449385438527	0.00136348403127	0.000238717232224	0.0141751244275	0.00707388736745
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_down	NA	0.0634888354962	0.00159804952805	0.136502656823	0.0493460338833	0.199635901796	0.00248696138927	6.45518488435e-05	0.143829794563	0.00110109316842	0.0348031787084	0.000322141957027	0.282646766317
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_up	NA	0.0600429677744	0.0721834533129	0.0002316916067	0.00761359858861	0.0330726483951	0.0397027559269	0.0966913625217	0.000151337777065	0.030111390722	0.00533557113169	0.00416769608522	0.14706870353
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_down	NA	0.0352927553775	0.0425426566744	0.0127793998063	0.00442498273893	0.0193261985771	0.0232337391064	0.057300419724	0.056881894486	0.0175845772957	0.00309951614942	0.169421811992	0.088174129961
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_up	NA	0.0066101968575	0.00799242687665	0.00237123303545	0.000818249479674	0.0035957095033	0.00432973359768	0.0108326443685	0.010751599121	0.00326931707795	0.000572838854821	0.0336841600609	0.0168937415062
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_down	NA	0.0379560557359	0.0457399637096	0.0137558719956	0.0047646344916	0.0207976165532	0.0249988500782	3.82143666043e-05	0.0611220064181	0.0189246786391	0.00333759857051	0.181200553442	0.0946271359517
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_up	NA	0.0579612140993	0.0696965975579	0.0211466492905	0.00734258535778	0.0319101070024	0.0383118103137	0.0934035283741	0.0927345680283	0.0290513708873	0.00514543605601	0.00376454700984	0.0104864367063
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_down	NA	0.0384878435384	0.0463781557007	0.0139510544967	0.004832552465	0.0210916410853	0.0253514967186	3.98738065613e-05	0.0619677557644	0.0191924849923	0.00338520925214	0.183536228657	0.0959122728819
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_up	NA	0.0584820789312	0.0703189290435	0.0213404192506	0.00741034473665	0.0322008700547	0.038659731566	0.0942265986266	0.0935520524012	0.0293164814139	0.00519297265297	0.00386299275403	0.0106725578933
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_down	NA	0.258018209372	0.303080339131	0.101318444049	0.0361642110107	0.149635277779	0.177371602225	0.000143912094836	0.385174085019	0.137010257344	0.0254542117152	3.00341542074e-05	0.0420561164984
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_up	NA	0.000392649443795	0.0639799010831	0.00659672058712	0.0411019170478	3.62085314194e-05	0.199465991957	0.0	5.72632452567e-09	0.154560909059	0.0289516689952	0.0	0.000269657698883
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_down	NA	0.0	6.23703349338e-05	1.52678737542e-07	0.199158832546	4.16362271549e-07	0.000155982455622	0.0	0.0	1.73748666787e-07	0.143981458515	3.60497187657e-11	9.12084896498e-09
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_up	NA	0.000714667124562	0.0536787854751	0.0260055428013	0.083203539548	0.00656624143263	0.0771465621545	0.0	0.316444449898	0.293558504223	0.0589963216719	7.97085730753e-11	4.26307433798e-10
