	Egr1	Elk1	Elk3	Erf	Etv3	Etv5	Foxj3	Gabpa	Irf1	Klf4	Klf5	Klf7	Klf8	Sp1	Sp2	Sp3	Sp4	Tbp
3110082i17rik	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Adamts2	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy4	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Apom	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Bc039771	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Bivm	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
C1qtnf3	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Cd248	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Ctnnal1	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Dcakd	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Dgka	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Dpep1	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elp2	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Fbn1	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Ffar2	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Gm12216	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Gng7	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Hinfp	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Kcnj10	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Kif3c	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Mat2b	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Micalcl	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Mpzl2	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Nudt1	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Pdgfra	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plac8	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Prmt7	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Ptpn3	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Rab4b	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Rgs16	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Rnf144b	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satb1	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Snx29	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Ttll4	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Vegfb	0.33	0	0	0	0	0	0	0	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33
Zfp59	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0
Zfp940	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
