Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Srf	Aurkb	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Bcar1	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Ccdc80	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Ctla2b	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Cyr61	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Ddr2	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Egr1	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Eln	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Etv1	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
Srf	Itga9	-.25	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	3.56272030344e-06, 3.56272030344e-06, 0.00010494382749, 0.00010494382749, 0.000154563521163, 0.000236367192286, 0.000659076848382, 0.000659076848382, 0.000831323494118, 0.00184330625093, 0.00244998220529, 0.00509139288178, 0.00949244105659, 0.0103193833608, 0.0149385078229, 0.0231527989955, 0.0255036472509, 0.0514037437594, 0.107565503307, 0.107565503307, 0.116657633414, 0.157705861278, 0.157705861278, 0.927723641234	M1200_1.01_mm9, E11708_hg19, E11709_hg19, E11710_hg19, E11711_hg19, E11712_hg19, E11713_hg19, E11714_hg19, E11715_hg19, E11716_hg19, E11717_hg19, E11718_hg19, E11719_hg19, M1780_1.01_hg19, M3822_1.01_hg19, M3826_1.01_hg19, M3830_1.01_hg19, M4347_1.01_hg19, M4382_1.01_hg19, M4447_1.01_hg19, M4503_1.01_hg19, M5686_1.01_hg19, M5687_1.01_hg19, M6308_1.01_hg19, Responders_TFClassSubFam, to_TFClassSubFam, external_TFClassSubFam, signals_TFClassSubFam, (SRF/RLM1)_TFClassSubFam	Srf
