Regulator	Target	Weight
Irf1	0610011f06rik	0.25
Nrf1	0610011f06rik	0.25
Sp1	0610011f06rik	0.25
Sp2	0610011f06rik	0.25
Sp3	0610011f06rik	0.25
Sp4	0610011f06rik	0.25
Tbp	0610011f06rik	0.25
Atf3	1190002n15rik	0.25
Irf1	1190002n15rik	0.25
Klf4	1190002n15rik	0.25
Klf5	1190002n15rik	0.25
Klf7	1190002n15rik	0.25
Klf8	1190002n15rik	0.25
Nrf1	1190002n15rik	0.25
Sp1	1190002n15rik	0.25
Sp2	1190002n15rik	0.25
Sp3	1190002n15rik	0.25
Sp4	1190002n15rik	0.25
Tbp	1190002n15rik	0.25
Irf4	1700013h16rik	-0.25
Irf8	1700013h16rik	-0.25
Irf9	1700013h16rik	-0.25
Atf3	5031414d18rik	0.25
Irf1	5031414d18rik	0.25
Klf7	5031414d18rik	0.25
Pbx3	5031414d18rik	0.25
Sp1	5031414d18rik	0.25
Sp2	5031414d18rik	0.25
Sp3	5031414d18rik	0.25
Sp4	5031414d18rik	0.25
Irf4	A630001g21rik	-0.25
Irf8	A630001g21rik	-0.25
Irf2	Aa388235	-0.25
Irf8	Aa388235	-0.25
Irf9	Aa388235	-0.25
Stat1	Aa388235	-0.25
Stat2	Aa388235	-0.25
Klf4	Acsbg1	0.25
Klf5	Acsbg1	0.25
Klf7	Acsbg1	0.25
Klf8	Acsbg1	0.25
Sp1	Acsbg1	0.25
Sp2	Acsbg1	0.25
Tbp	Acsbg1	0.25
Atf3	Acsf2	0.25
Irf1	Acsf2	0.25
Klf4	Acsf2	0.25
Klf5	Acsf2	0.25
Klf7	Acsf2	0.25
Klf8	Acsf2	0.25
Sp1	Acsf2	0.25
Sp2	Acsf2	0.25
Sp3	Acsf2	0.25
Sp4	Acsf2	0.25
Tbp	Acsf2	0.25
Sp1	Adam30	0.25
Atf3	Ahcy	0.25
Irf1	Ahcy	0.25
Klf4	Ahcy	0.25
Klf5	Ahcy	0.25
Klf7	Ahcy	0.25
Klf8	Ahcy	0.25
Nrf1	Ahcy	0.25
Pou2f1	Ahcy	0.25
Sp1	Ahcy	0.25
Sp2	Ahcy	0.25
Sp3	Ahcy	0.25
Sp4	Ahcy	0.25
Tbp	Ahcy	0.25
Etv3	Ahi1	-0.25
Irf4	Ahi1	-0.25
Irf2	Ahnak	-0.25
Irf4	Ahnak	-0.25
Irf8	Ahnak	-0.25
Irf9	Ahnak	-0.25
Stat1	Ahnak	-0.25
Stat2	Ahnak	-0.25
Sp1	Ai429214	0.25
Sp2	Ai429214	0.25
Sp4	Ai429214	0.25
Atf3	Arid3b	0.25
Irf1	Arid3b	0.25
Klf4	Arid3b	0.25
Klf5	Arid3b	0.25
Klf7	Arid3b	0.25
Klf8	Arid3b	0.25
Nrf1	Arid3b	0.25
Pbx3	Arid3b	0.25
Sp1	Arid3b	0.25
Sp2	Arid3b	0.25
Sp3	Arid3b	0.25
Sp4	Arid3b	0.25
Tbp	Arid3b	0.25
Irf4	Arl11	-0.25
Erf	Atxn1	-0.25
Etv3	Atxn1	-0.25
Nrf1	B9d1	0.25
Irf1	Barx2	0.25
Pou2f1	Barx2	0.25
Sp1	Barx2	0.25
Irf1	Bc029214	0.25
Klf4	Bc029214	0.25
Klf5	Bc029214	0.25
Klf7	Bc029214	0.25
Klf8	Bc029214	0.25
Nrf1	Bc029214	0.25
Sp1	Bc029214	0.25
Sp2	Bc029214	0.25
Sp3	Bc029214	0.25
Sp4	Bc029214	0.25
Tbp	Bc029214	0.25
Irf2	Bco2	-0.25
Irf4	Bco2	-0.25
Irf8	Bco2	-0.25
Irf9	Bco2	-0.25
Stat1	Bco2	-0.25
Stat2	Bco2	-0.25
Irf4	Bnip1	-0.25
Irf8	Bnip1	-0.25
Irf9	Bnip1	-0.25
Stat1	Bnip1	-0.25
Stat2	Bnip1	-0.25
Etv3	C1qa	-0.25
Irf4	C3ar1	-0.25
Erf	Cacna1d	-0.25
Etv3	Cacna1d	-0.25
Irf2	Cacna1d	-0.25
Irf4	Cacna1d	-0.25
Irf8	Cacna1d	-0.25
Irf9	Cacna1d	-0.25
Stat1	Cacna1d	-0.25
Stat2	Cacna1d	-0.25
Atf3	Cadm1	0.25
Irf1	Cadm1	0.25
Klf4	Cadm1	0.25
Klf5	Cadm1	0.25
Klf7	Cadm1	0.25
Klf8	Cadm1	0.25
Nrf1	Cadm1	0.25
Pbx3	Cadm1	0.25
Pou2f1	Cadm1	0.25
Sp1	Cadm1	0.25
Sp2	Cadm1	0.25
Sp3	Cadm1	0.25
Sp4	Cadm1	0.25
Tbp	Cadm1	0.25
Pou2f1	Camk2a	0.25
Irf4	Capn11	-0.25
Pbx3	Cbr3	0.25
Sp2	Cbr3	0.25
Atf3	Ccdc102a	0.25
Irf1	Ccdc102a	0.25
Klf4	Ccdc102a	0.25
Klf5	Ccdc102a	0.25
Nrf1	Ccdc102a	0.25
Pbx3	Ccdc102a	0.25
Sp1	Ccdc102a	0.25
Sp2	Ccdc102a	0.25
Sp3	Ccdc102a	0.25
Sp4	Ccdc102a	0.25
Tbp	Ccdc102a	0.25
Irf2	Ccdc62	-0.25
Irf4	Ccdc62	-0.25
Irf8	Ccdc62	-0.25
Irf9	Ccdc62	-0.25
Stat2	Ccdc62	-0.25
Irf4	Ccl17	-0.25
Irf2	Ccl3	-0.25
Irf4	Ccl3	-0.25
Irf8	Ccl3	-0.25
Irf9	Ccl3	-0.25
Stat1	Ccl3	-0.25
Stat2	Ccl3	-0.25
Irf9	Ccnj	-0.25
Irf4	Cd207	-0.25
Pou2f1	Cd38	0.25
Sp1	Cd38	0.25
