Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Sp2	1110051M20Rik	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	1700029I15Rik	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	2610035D17Rik	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	3010026O09Rik	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	AU022252	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	Aars2	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	Acad10	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	Acbd4	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	Actn1	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
Sp2	Aimp1	.25	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	3.87345489017e-10, 3.87345489017e-10, 3.56355225044e-05, 0.000204828938718, 0.00158873774105, 0.0295652457251, 0.279027335479	M2184_1.01_mm9, E11674_hg19, E11675_hg19, E11676_hg19, M2184_1.01_hg19, M4502_1.01_hg19, M6300_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp2
