	Ctcf	E2f4	E2f6	Egr1	Elf1	Elf4	Fos	Ikzf1	Irf1	Irf3	Klf13	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nfyc	Nrf1	Pax5	Pbx3	Plagl1	Pou2f2	Rfx1	Rfx2	Rxra	Sp1	Sp2	Sp3	Sp4	Srf	Tbp	Zbtb7a	Zfp148
1110051m20rik	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0
1700029i15rik	0	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0	0.25	0	0.25	0	0
2610035d17rik	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0	0
2610301b20rik	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0.25	0
2700099c18rik	0	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0
2900005j15rik	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	-0.25
2900052n01rik	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
3010026o09rik	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
3930402g23rik	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0
4930539e08rik	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4932438h23rik	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0
5430416n02rik	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0
5730455p16rik	0.25	0	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.25	0	0
8430419l09rik	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
