		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		1	3	4	3	5	10	17	9	0	3	29	36
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_down	268	13	7	10	0	5	4	26	1	0	0	26	16
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_up	328	6	7	11	1	2	0	24	9	1	0	24	19
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_down	257	9	5	1	0	5	2	23	14	1	0	25	8
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_up	332	5	7	11	1	1	0	23	8	1	0	28	13
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_down	9	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_up	28	0	0	0	0	0	4	0	0	0	0	0	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_down	9	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_up	28	0	0	0	0	0	4	0	0	0	0	0	0
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_down	0	0	0	0	0	0	1	0	0	0	0	0	1
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_up	33	7	0	1	0	0	0	0	2	0	0	0	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_down	16	0	0	0	0	0	0	0	0	0	0	4	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_up	4	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_down	97	0	0	0	0	11	0	4	1	0	0	0	13
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_up	76	0	0	0	0	0	0	0	0	0	0	12	1
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_down	97	0	0	0	0	11	0	4	1	0	0	0	13
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_up	76	0	0	0	0	0	0	0	0	0	0	12	1
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_down	163	6	0	1	0	2	0	11	0	1	0	18	4
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_up	163	1	5	1	3	0	0	9	7	2	0	4	4
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_down	6	0	1	4	0	1	1	2	0	1	0	0	1
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_up	134	4	6	9	0	8	4	25	2	2	0	11	32
