Total genes and peaks mapped to +/-Hhbp of gene genesets of various gene sets

	Total peaks mapped to various ATACseq peak sets

	Total peaks mapped to the intersection of ATACseq-based and gene-based sets

		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
	totGenes	81	98	29	10	44	53	133	132	40	7	418	208
	totPeaks	829	556	392	99	455	311	1394	1033	472	39	3398	1425
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_down	1073	8	3	5	0	1	3	15	5	1	0	23	15
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_up	1972	10	7	8	1	7	4	18	12	2	0	35	22
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_down	1406	8	5	5	0	1	6	17	7	3	0	32	17
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_up	2127	9	8	8	1	7	3	19	15	4	0	40	23
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_down	25	0	0	0	0	0	0	0	0	0	0	1	0
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_up	5	0	0	0	0	0	1	0	0	0	0	0	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_down	25	0	0	0	0	0	0	0	0	0	0	1	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_up	5	0	0	0	0	0	1	0	0	0	0	0	0
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_down	740	2	4	1	0	0	3	6	2	3	0	9	2
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_up	112	1	0	2	0	0	0	0	3	1	0	3	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_down	65	0	1	0	0	0	0	0	0	0	0	1	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_up	12	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_down	70	0	0	0	0	1	0	3	1	0	0	1	1
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_up	108	0	0	0	0	0	0	0	0	0	0	3	2
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_down	71	0	0	0	0	1	0	3	1	0	0	1	1
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_up	109	0	0	0	0	0	0	0	0	0	0	3	2
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_down	539	1	0	1	0	1	0	5	1	1	0	9	3
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_up	614	4	2	2	1	4	0	10	9	1	0	16	6
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_down	3220	25	10	8	0	9	7	28	20	9	1	74	21
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_up	1268	5	3	2	1	3	2	13	2	1	0	22	15
