Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_down	NA	0.142068062744	0.169228726521	0.0533734037728	0.0187350370032	0.0798566534701	0.0953908903931	0.222479607851	0.221006427226	0.0728675041109	0.0131515497862	1.35511200705e-07	0.00741819484232
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_up	NA	0.184690225475	0.0256207177868	0.0704838120844	0.0248872535776	0.104973951321	0.125052291744	0.0446917273546	0.0440912607091	0.095903374424	0.0174866459599	1.42937417458e-09	0.00199840154351
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC1_FDR10_down	NA	0.00275951147122	0.00333789424229	0.00098867451649	0.000341010877207	0.00149975053077	0.00180629611284	0.00452783669556	0.00449385438527	0.00136348403127	0.000238717232224	0.0141751244275	0.00707388736745
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC1_FDR10_down	NA	0.00496170487262	0.00600026786854	0.00177893466323	0.000613743928429	0.0026979688008	0.0032490280769	0.00813545171341	0.00807450356904	0.00245296644145	0.000429656019644	0.0253707562376	0.0126971236113
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_down	NA	0.00331051092769	0.00400414877006	0.00118629603496	0.000409200476916	0.00179943691484	0.00216717092691	0.00543095965398	0.00539021747273	0.00163596346216	0.000286454999032	0.0169860029216	0.00848267735441
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_up	NA	0.00715909460763	0.00865560130604	0.00256859058175	0.000886409782311	0.00389478072898	0.00468971326751	0.0117300899799	0.0116423700184	0.00354128949186	0.000620562761776	0.0364395439873	0.018288665566
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_down	NA	0.102228449833	0.122326152674	0.0378668237879	0.0132221191247	0.0568898159845	0.0681235107983	0.162305224067	0.16118851203	0.0518539150023	0.0092738513728	0.427159022615	0.0316845161465
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_up	NA	0.0427317091383	0.0514685078376	0.0155111731498	0.0053757458632	0.0234407344652	0.0281681677371	0.0692088798101	0.00236875095354	0.0213323720686	0.00376602489868	0.00154968347131	0.106128227351
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_down	NA	0.0	0.0948771647913	0.000409115790452	0.0101173165586	0.000943771550452	0.0524757855227	1.15261102366e-05	0.125658862356	0.000780240104353	0.00709284445108	7.51131873381e-05	0.190756167902
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_up	NA	0.123342587012	0.0112592015268	0.0460286548697	0.0161165056506	0.0690023914452	0.0825213088268	7.15798470902e-05	0.193103749818	0.0629304870731	0.0113089038687	0.000651640699046	1.36660127437e-06
