	Elk1	Elk3	Erf	Etv3	Etv5	Foxj3	Gabpa
3110082i17rik	0	0	0	0	0	0	-0.25
Adamts2	-0.25	0	0	0	0	0	0
Adcy4	0	0	0	0	0	0	-0.25
Apom	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Bc039771	0	0	0	0	0	0.25	0
Bivm	-0.25	-0.25	0	0	0	0	-0.25
C1qtnf3	-0.25	-0.25	0	0	-0.25	0	-0.25
Cd248	0	0	0	0	0	0	-0.25
Ctnnal1	0	0	0	0	0	0	-0.25
Dcakd	0	0	0	0	0	0	-0.25
Dgka	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Dpep1	0	-0.25	0	0	0	0	0
Elp2	-0.25	0	0	0	0	0	-0.25
Fbn1	0	0	0	-0.25	0	0	-0.25
Ffar2	0	0	0	0	0	0.25	0
Gm12216	0	0	0	0	0	0.25	0
Gng7	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Hinfp	0	0	-0.25	-0.25	-0.25	0	-0.25
Kcnj10	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Kif3c	0	0	0	0	0	0.25	0
Mat2b	0	0	0	0	0	0.25	0
Micalcl	0	-0.25	0	0	0	0	-0.25
Mpzl2	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Nudt1	-0.25	-0.25	0	0	0	0	-0.25
Pdgfra	-0.25	0	0	0	0	0	0
Plac8	0	0	0	0	0	0.25	0
Prmt7	-0.25	0	0	0	0	0	-0.25
Ptpn3	0	0	0	0	0	0.25	0
Rab4b	0	0	0	0	0	0.25	0
Rgs16	0	0	0	0	0	0.25	0
Rnf144b	-0.25	0	0	0	0	0	0
Satb1	0	0	0	0	0	0.25	0
Snx29	0	0	0	0	0	0.25	0
Ttll4	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Zfp59	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Zfp940	-0.25	0	0	0	0	0	0
