Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Foxj3	BC039771	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Ffar2	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Gm12216	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Kif3c	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Mat2b	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Plac8	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Ptpn3	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Rab4b	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Rgs16	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
Foxj3	Satb1	.25	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	4.38724240622e-05, 4.38724240622e-05, 0.000562030840687, 0.000562030840687, 0.0475827486501, 0.17050694002, 0.17050694002, 0.254348260486, 0.541995542152, 0.543561077955, 0.543561077955, 0.759702109117, 0.78184485947	M0650_1.01_mm9, M0651_1.01_mm9, M5833_1.01_mm9, M5834_1.01_mm9, M5835_1.01_mm9, M5836_1.01_mm9, E10507_hg19, E10508_hg19, E10509_hg19, E10510_hg19, E10511_hg19, E10512_hg19, E10513_hg19, E10514_hg19, M5275_1.01_hg19, M5276_1.01_hg19, M5277_1.01_hg19, M6061_1.01_hg19, M6062_1.01_hg19, FOXJ_TFClassSubFam	Foxj3
