Regulator	Target	Weight
Klf4	1110051m20rik	0.25
Klf5	1110051m20rik	0.25
Nfya	1110051m20rik	0.25
Pbx3	1110051m20rik	0.25
Sp1	1110051m20rik	0.25
Sp2	1110051m20rik	0.25
E2f4	1700029i15rik	0.25
E2f6	1700029i15rik	0.25
Egr1	1700029i15rik	0.25
Fos	1700029i15rik	0.25
Irf1	1700029i15rik	0.25
Irf3	1700029i15rik	0.25
Nfya	1700029i15rik	0.25
Nrf1	1700029i15rik	0.25
Pbx3	1700029i15rik	0.25
Sp1	1700029i15rik	0.25
Sp2	1700029i15rik	0.25
Sp4	1700029i15rik	0.25
Tbp	1700029i15rik	0.25
Ctcf	2610035d17rik	0.25
E2f4	2610035d17rik	0.25
Egr1	2610035d17rik	0.25
Fos	2610035d17rik	0.25
Irf1	2610035d17rik	0.25
Irf3	2610035d17rik	0.25
Nfya	2610035d17rik	0.25
Nfyb	2610035d17rik	0.25
Pbx3	2610035d17rik	0.25
Sp2	2610035d17rik	0.25
Tbp	2610035d17rik	0.25
Ctcf	2610301b20rik	0.25
E2f4	2610301b20rik	0.25
E2f6	2610301b20rik	0.25
Egr1	2610301b20rik	0.25
Nrf1	2610301b20rik	0.25
Sp4	2610301b20rik	0.25
Egr1	2700099c18rik	-0.25
Klf4	2700099c18rik	-0.25
Sp3	2700099c18rik	-0.25
E2f4	2900005j15rik	-0.25
Egr1	2900005j15rik	-0.25
Myc	2900005j15rik	-0.25
Pax5	2900005j15rik	-0.75
Sp2	2900005j15rik	-0.25
Zfp148	2900005j15rik	-0.25
Irf1	2900052n01rik	-0.25
E2f4	3010026o09rik	0.25
Egr1	3010026o09rik	0.25
Irf1	3010026o09rik	0.25
Klf4	3010026o09rik	0.25
Klf5	3010026o09rik	0.25
Klf7	3010026o09rik	0.25
Nrf1	3010026o09rik	0.25
Sp1	3010026o09rik	0.25
Sp2	3010026o09rik	0.25
Sp3	3010026o09rik	0.25
Sp4	3010026o09rik	0.25
Tbp	3010026o09rik	0.25
Irf1	3930402g23rik	-0.25
Pax5	3930402g23rik	-0.75
Sp2	3930402g23rik	-0.25
Sp3	3930402g23rik	-0.25
Egr1	4930539e08rik	-0.25
Elf4	4930539e08rik	-0.25
Irf1	4930539e08rik	-0.25
Pax5	4930539e08rik	-0.75
Ctcf	4932438h23rik	0.25
E2f4	4932438h23rik	0.25
E2f6	4932438h23rik	0.25
Egr1	4932438h23rik	0.25
Fos	4932438h23rik	0.25
Irf1	4932438h23rik	0.25
Irf3	4932438h23rik	0.25
Nrf1	4932438h23rik	0.25
Sp1	4932438h23rik	0.25
Sp3	4932438h23rik	0.25
E2f4	5430416n02rik	-0.25
Egr1	5430416n02rik	-0.25
Elf4	5430416n02rik	-0.25
Irf1	5430416n02rik	-0.25
Klf4	5430416n02rik	-0.25
Klf7	5430416n02rik	-0.25
Nfya	5430416n02rik	-0.25
Pax5	5430416n02rik	-0.75
Sp1	5430416n02rik	-0.25
Sp2	5430416n02rik	-0.25
Sp3	5430416n02rik	-0.25
Ctcf	5730455p16rik	0.25
E2f6	5730455p16rik	0.25
Egr1	5730455p16rik	0.25
Fos	5730455p16rik	0.25
Irf1	5730455p16rik	0.25
Irf3	5730455p16rik	0.25
Klf4	5730455p16rik	0.25
Klf5	5730455p16rik	0.25
Klf7	5730455p16rik	0.25
Sp1	5730455p16rik	0.25
Sp3	5730455p16rik	0.25
Sp4	5730455p16rik	0.25
Tbp	5730455p16rik	0.25
E2f4	8430419l09rik	0.25
E2f6	8430419l09rik	0.25
Egr1	8430419l09rik	0.25
Irf1	8430419l09rik	0.25
Klf4	8430419l09rik	0.25
Nrf1	8430419l09rik	0.25
Pbx3	8430419l09rik	0.25
Tbp	8430419l09rik	0.25
Egr1	A230072c01rik	0.25
Klf5	A230072c01rik	0.25
Pbx3	A230072c01rik	0.25
Sp1	A230072c01rik	0.25
Sp4	A230072c01rik	0.25
Irf1	A530099j19rik	-0.25
Pax5	A530099j19rik	-0.75
Ctcf	Aars2	0.25
Irf1	Aars2	0.25
Klf4	Aars2	0.25
Klf5	Aars2	0.25
Klf7	Aars2	0.25
Sp1	Aars2	0.25
Sp2	Aars2	0.25
