		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		0	2	1	1	1	6	10	1	0	3	20	23
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_down	82	6	5	0	0	0	0	0	3	1	0	0	0
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_up	49	0	1	0	0	2	0	3	0	0	0	1	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC1_FDR10_down	1	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC1_FDR10_down	0	0	0	0	0	0	0	0	0	0	0	3	0
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_down	18	0	0	0	0	0	0	2	0	0	0	0	0
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_up	8	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_down	27	3	0	0	0	2	0	0	0	0	0	0	0
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_up	10	0	0	0	2	0	0	1	2	0	0	2	0
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_down	29	0	0	0	0	0	2	0	0	0	0	1	0
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_up	125	7	4	0	0	11	0	5	0	0	0	1	19
