Significance of peak overlap between gene expression and accessibility clusters

	Raw p-values from the hypergeometric distribution are reported.

		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_down	NA	1.51315293628e-10	0.0	0.0	1.4813195115e-10	0.0	0.0	0.0	0.0	1.52277079835e-10	0.0	0.0	0.0
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_up	NA	0.00336063107229	1.24136707802e-07	1.31793154168e-09	1.46924862721e-07	2.77969203211e-10	0.0	2.99661195432e-05	0.0	6.66431354546e-11	0.0	2.75849343367e-11	0.0
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	NA	0.00703652666694	0.00906046774928	0.00781543322767	0.0248042472564	0.0	0.0594316380546	0.00422761747495	0.00594507483329	0.0473731507434	0.0266406481711	0.037892237988	0.0836894829066
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	NA	0.000306947320717	0.000395620707493	0.000341052464226	0.00109136821426	0.00126189417654	0.00266020918344	0.000184168085468	0.00025919972177	0.00210770456326	0.00117322082878	0.00167797822022	0.00379250361138
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	NA	0.0317314941693	0.0407112539727	0.0351950585295	0.108363662418	0.124210610472	0.24406021875	0.0191603807444	0.0268618042272	0.00148275533725	0.116005329021	0.161715994971	0.329084284547
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	NA	0.00184030207594	0.00237141885552	0.00204460588299	0.00653047876746	0.00754764791452	0.0158557496645	0.00110451992765	0.00155421807459	0.0125799904825	0.0070188283271	0.0100259000622	0.0225407440934
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_down	NA	0.0191588272191	0.0246260284794	0.0212651569325	0.0664943717214	0.0764832788143	0.154521083848	0.0115390370625	0.0162024690621	0.124494332809	0.0713022466557	0.100416874773	0.212925739036
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_up	NA	0.0103846860286	0.0133651682501	0.0115320582143	0.0364500548413	0.0420276192322	0.086596773072	0.00624343305688	0.00877619300293	5.2861458094e-05	0.0391312079422	0.0015183528873	0.121206053062
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_up	NA	0.0	5.94907316742e-08	0.0	0.0	0.0	0.0	0.0	0.0	7.11162240208e-11	0.0	0.0	0.0
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_down	NA	0.0	2.14115844832e-06	0.0	4.30638191773e-09	0.0	0.0	0.0	2.49750453651e-09	0.0	1.70084168971e-10	0.0	0.0
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_up	NA	0.00651132467789	5.36274392893e-07	0.000336180033513	0.0685566766432	0.013672693479	1.21530746138e-05	0.0695737105886	0.00468086485874	1.19979581825e-10	0.000108011814282	5.22673217274e-06	0.000819108285703
