Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Sp4	1500011B03Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	1700001G17Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	1810026J23Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	2510009E07Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	2810417H13Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	4931414P19Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	6330416G13Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	9430015G10Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	9530082P21Rik	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	AI462493	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	AU022252	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Acad11	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Acot7	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Actr8	-.25	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up	8.65334540159e-05, 0.00011174474091, 0.00011174474091, 0.00207104169907, 0.505002220682, 0.655552831748	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
