	E2f1	E2f4	Elf1	Elf2	Elk1	Ets1	Etv6	Fos	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Sp1	Sp2	Sp4	Stat1	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143
2310061j03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Adamtsl4	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0
Adora2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Adss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Akt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Amica1	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	-0.25
Anln	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Ap3m2	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Arhgap19	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0
Arhgap28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Arhgef18	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0
Asb2	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0
