Regulator	Target	Weight
Nfkb1	Abca9	-0.25
Fos	Acsf2	0.25
Irf1	Adamts2	-0.25
Irf4	Adamts2	-0.25
Irf9	Adamts2	-0.25
Stat2	Adamts2	-0.25
Irf1	Aebp1	-0.25
Irf3	Aebp1	-0.25
Rela	Aebp1	-0.25
Fos	Agpat4	0.25
Junb	Agpat4	0.25
Smarcc1	Agpat4	0.25
Irf1	Ai467606	-0.25
Irf8	Ai467606	-0.25
Nfkb1	Ai467606	-0.25
Zfp263	Ai467606	-0.25
Fos	Aig1	0.25
Junb	Aig1	0.25
Smarcc1	Aig1	0.25
Bcl6	Apobec1	-0.25
Irf1	Apobec1	-0.25
Irf2	Apobec1	-0.25
Irf3	Apobec1	-0.25
Irf4	Apobec1	-0.25
Irf8	Apobec1	-0.25
Irf9	Apobec1	-0.25
Nfkb1	Apobec1	-0.25
Rela	Apobec1	-0.25
Stat1	Apobec1	-0.25
Stat2	Apobec1	-0.25
Fos	Arhgap10	0.25
Junb	Arhgap10	0.25
Smarcc1	Arhgap10	0.25
Bcl6	Arhgap22	-0.25
Irf1	Arhgap22	-0.25
Irf4	Arhgap22	-0.25
Nfkb1	Arhgap22	-0.25
Rela	Arhgap22	-0.25
Srf	Arhgap22	-0.25
Stat2	Arhgap22	-0.25
Zfp263	Arhgap22	-0.25
Fos	Asap2	0.25
Bcl6	Atf3	-0.25
Hsf1	Atf3	-0.25
Hsf2	Atf3	-0.25
Irf1	Atf3	-0.25
Irf2	Atf3	-0.25
Irf3	Atf3	-0.25
Irf4	Atf3	-0.25
Irf8	Atf3	-0.25
Irf9	Atf3	-0.25
Nfkb1	Atf3	-0.25
Rela	Atf3	-0.25
Srf	Atf3	-0.25
Stat1	Atf3	-0.25
Stat2	Atf3	-0.25
Zfp263	Atf3	-0.25
Bcl6	Athl1	-0.25
Hsf1	Athl1	-0.25
Irf1	Athl1	-0.25
Irf3	Athl1	-0.25
Irf4	Athl1	-0.25
Rela	Athl1	-0.25
Stat2	Athl1	-0.25
Zfp263	Athl1	-0.25
Zfp263	B430306n03rik	-0.25
Bcl6	C3	-0.25
Nfkb1	C3	-0.25
Rela	C3	-0.25
Srf	C3	-0.25
Stat1	C3	-0.25
Zfp263	C3	-0.25
Fos	Camk1	0.25
Irf3	Ccdc66	-0.25
Bcl6	Ccl2	-0.25
Hsf1	Ccl2	-0.25
Hsf2	Ccl2	-0.25
Irf1	Ccl2	-0.25
Irf2	Ccl2	-0.25
Irf3	Ccl2	-0.25
Irf4	Ccl2	-0.25
Irf9	Ccl2	-0.25
Stat1	Ccl2	-0.25
Bcl6	Ccl3	-0.25
Irf1	Ccl3	-0.25
Irf2	Ccl3	-0.25
Irf3	Ccl3	-0.25
Irf4	Ccl3	-0.25
Irf8	Ccl3	-0.25
Irf9	Ccl3	-0.25
Rela	Ccl3	-0.25
Stat1	Ccl3	-0.25
Stat2	Ccl3	-0.25
Zfp263	Ccl3	-0.25
Irf1	Ccl4	-0.25
Irf2	Ccl4	-0.25
Irf3	Ccl4	-0.25
Irf4	Ccl4	-0.25
Irf8	Ccl4	-0.25
Irf9	Ccl4	-0.25
Rela	Ccl4	-0.25
Stat1	Ccl4	-0.25
Stat2	Ccl4	-0.25
Zfp263	Ccl4	-0.25
Irf1	Cd2	-0.25
Irf2	Cd2	-0.25
Irf4	Cd2	-0.25
Irf8	Cd2	-0.25
Stat1	Cd2	-0.25
Hsf1	Cd209a	-0.25
Hsf2	Cd209a	-0.25
Irf4	Cd209a	-0.25
Irf8	Cd209a	-0.25
Zfp263	Cd209a	-0.25
Hsf1	Cdt1	-0.25
Hsf2	Cdt1	-0.25
Irf1	Cdt1	-0.25
Irf3	Cdt1	-0.25
Irf8	Cdt1	-0.25
Irf9	Cdt1	-0.25
Stat1	Cdt1	-0.25
Stat2	Cdt1	-0.25
Zfp263	Cdt1	-0.25
Hsf1	Chordc1	-0.25
Hsf2	Chordc1	-0.25
Nfkb1	Chordc1	-0.25
Zfp263	Chordc1	-0.25
Fos	Cnnm2	0.25
Bcl6	Col15a1	-0.25
Irf1	Col15a1	-0.25
Irf2	Col15a1	-0.25
Irf4	Col15a1	-0.25
Irf8	Col15a1	-0.25
Irf9	Col15a1	-0.25
Nfkb1	Col15a1	-0.25
Rela	Col15a1	-0.25
Stat1	Col15a1	-0.25
Zfp263	Col15a1	-0.25
Bcl6	Cpm	-0.25
Hsf1	Cpm	-0.25
Hsf2	Cpm	-0.25
Irf1	Cpm	-0.25
Irf4	Cpm	-0.25
Srf	Cpm	-0.25
Zfp263	Cpm	-0.25
Bcl6	Csf1r	-0.25
Hsf1	Csf1r	-0.25
Irf1	Csf1r	-0.25
Irf2	Csf1r	-0.25
Irf4	Csf1r	-0.25
Rela	Csf1r	-0.25
Zfp263	Csf1r	-0.25
Hsf1	Dbf4	-0.25
Hsf2	Dbf4	-0.25
Irf1	Dbf4	-0.25
Irf4	Dbf4	-0.25
Srf	Dbf4	-0.25
Zfp263	Dbf4	-0.25
Bcl6	Ddx58	-0.25
Irf1	Ddx58	-0.25
Irf2	Ddx58	-0.25
Irf3	Ddx58	-0.25
Irf4	Ddx58	-0.25
Irf8	Ddx58	-0.25
Irf9	Ddx58	-0.25
Nfkb1	Ddx58	-0.25
Rela	Ddx58	-0.25
Srf	Ddx58	-0.25
Stat1	Ddx58	-0.25
Stat2	Ddx58	-0.25
Zfp263	Ddx58	-0.25
Irf1	Ddx60	-0.25
Irf2	Ddx60	-0.25
Irf3	Ddx60	-0.25
Irf4	Ddx60	-0.25
Irf8	Ddx60	-0.25
Irf9	Ddx60	-0.25
Rela	Ddx60	-0.25
Stat1	Ddx60	-0.25
Stat2	Ddx60	-0.25
Nfkb1	Dpt	-0.25
Rela	Dpt	-0.25
Stat1	Dpt	-0.25
Irf1	Dusp10	-0.25
Irf2	Dusp10	-0.25
Irf3	Dusp10	-0.25
Irf8	Dusp10	-0.25
Irf9	Dusp10	-0.25
Nfkb1	Dusp10	-0.25
