Regulator	Target	Weight
Atf3	1700029i15rik	-0.25
E2f4	1700029i15rik	-0.25
E2f6	1700029i15rik	-0.25
Egr1	1700029i15rik	-0.25
Elf2	1700029i15rik	-0.25
Elk4	1700029i15rik	-0.25
Fos	1700029i15rik	-0.25
Gabpa	1700029i15rik	-0.25
Irf1	1700029i15rik	-0.25
Irf3	1700029i15rik	-0.25
Nfya	1700029i15rik	-0.25
Nrf1	1700029i15rik	-0.25
Pbx3	1700029i15rik	-0.25
Sp1	1700029i15rik	-0.25
Sp2	1700029i15rik	-0.25
Sp4	1700029i15rik	-0.25
Tbp	1700029i15rik	-0.25
Atf3	2310022b05rik	-0.25
Bhlhe40	2310022b05rik	-0.25
Ctcf	2310022b05rik	-0.25
E2f4	2310022b05rik	-0.25
Egr1	2310022b05rik	-0.25
Elf1	2310022b05rik	-0.25
Gabpa	2310022b05rik	-0.25
Irf1	2310022b05rik	-0.25
Klf4	2310022b05rik	-0.25
Klf7	2310022b05rik	-0.25
Nrf1	2310022b05rik	-0.25
Sp1	2310022b05rik	-0.25
Sp2	2310022b05rik	-0.25
Sp3	2310022b05rik	-0.25
Sp4	2310022b05rik	-0.25
Srf	2310022b05rik	-0.25
Taf1	2310022b05rik	-0.25
Tbp	2310022b05rik	-0.25
Usf1	2310022b05rik	-0.25
Zfp148	2310022b05rik	-0.25
Atf3	5730508b09rik	0.25
Zbtb7b	5730508b09rik	0.25
Atf3	6330416g13rik	-0.25
E2f4	6330416g13rik	-0.25
E2f6	6330416g13rik	-0.25
Egr1	6330416g13rik	-0.25
Elf1	6330416g13rik	-0.25
Elf2	6330416g13rik	-0.25
Etv6	6330416g13rik	-0.25
Fos	6330416g13rik	-0.25
Gabpa	6330416g13rik	-0.25
Irf1	6330416g13rik	-0.25
Sp2	6330416g13rik	-0.25
Sp4	6330416g13rik	-0.25
Taf1	6330416g13rik	-0.25
Zbtb7b	6330416g13rik	-0.25
Zfp143	6330416g13rik	-0.25
Atf3	8430427h17rik	-0.25
Bhlhe40	8430427h17rik	-0.25
Ctcf	8430427h17rik	-0.25
E2f4	8430427h17rik	-0.25
E2f6	8430427h17rik	-0.25
Egr1	8430427h17rik	-0.25
Elf1	8430427h17rik	-0.25
Fos	8430427h17rik	-0.25
Gabpa	8430427h17rik	-0.25
Irf1	8430427h17rik	-0.25
Klf4	8430427h17rik	-0.25
Klf7	8430427h17rik	-0.25
Mitf	8430427h17rik	-0.25
Nrf1	8430427h17rik	-0.25
Sp1	8430427h17rik	-0.25
Sp2	8430427h17rik	-0.25
