Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Hsf2	Atf3	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Bcl6	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Ccl2	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Chordc1	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Dnajb1	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Hip1	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Hspa8	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Hsph1	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Hsf2	Relt	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	4.50382205495e-05, 4.50382205495e-05, 0.000119962016511, 0.408219766209, 0.408219766209, 0.408219766209	M3314_1.01_mm9, E10805_hg19, E10806_hg19, M3314_1.01_hg19, M5385_1.01_hg19, M6106_1.01_hg19, HSF_TFClassSubFam, factors_TFClassSubFam	Hsf2
Zfp143	6330416G13Rik	-.25	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	6.63759667168e-05, 0.00244362564268, 0.00323594878186, 0.00620380532562, 0.106907879565, 0.10877297852, 0.117716975525, 0.279132238803, 0.279132238803, 0.826598962144, 0.974371554274, 0.974371554274	M3834_1.01_mm9, E12000_hg19, E12001_hg19, E12002_hg19, E12003_hg19, E12004_hg19, E12005_hg19, M3834_1.01_hg19, M3835_1.01_hg19, M4354_1.01_hg19, M5785_1.01_hg19, M6370_1.01_hg19, ZNF76-like_TFClassSubFam, factors_TFClassSubFam	Zfp143
