Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Sp4	Adora2a	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Akt3	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Arhgap28	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Asns	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	B3gnt5	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Braf	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Cd24a	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Cdon	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Cpeb2	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
Sp4	Ctnnal1	.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	2.50792186796e-06, 0.328659854329, 0.581737947077, 0.677319968298, 0.767776885074, 0.767776885074	M0370_1.01_mm9, M0371_1.01_mm9, E11679_hg19, E11680_hg19, M5674_1.01_hg19, M6302_1.01_hg19, Sp1-like_TFClassSubFam, factors_TFClassSubFam	Sp4
