Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Gabpa	Catsperg1	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Chmp6	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Ddit3	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Egr1	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Narfl	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Plcb3	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Rbm43	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Rcc1	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Rgl2	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
Gabpa	Sh3gl1	-.33	GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down_GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	0.000809761263565, 0.000863370866379, 0.0160412868135, 0.0249331718078, 0.0303981074664, 0.0441405552021, 0.0483391336723, 0.0510615398033, 0.0590360602043, 0.0777200295961, 0.0777200295961, 0.0950754902293, 0.179292679274, 0.218041430768, 0.268832023232, 0.268832023232, 0.402864999459	M0617_1.01_mm9, M0618_1.01_mm9, M1761_1.01_mm9, E10550_hg19, E10551_hg19, E10552_hg19, E10553_hg19, E10554_hg19, E10555_hg19, E10556_hg19, E10557_hg19, M4332_1.01_hg19, M4375_1.01_hg19, M4410_1.01_hg19, M4438_1.01_hg19, M4490_1.01_hg19, M5294_1.01_hg19, M6071_1.01_hg19, Ets-like_TFClassSubFam, factors_TFClassSubFam	Gabpa
